title,price,detail,ISBN,review
  The Orphanage By The Lake: A Captivating Psychological Crime Thriller With A Twist ,    $0.00   ,A MISSING GIRL,,"[('Amazon Customer', 'A clever, fun, and intriguing mystery with a captivating lead detective character.  Everyone will fall in love with Hazel Cho.  Really felt like I needed to finish in one-sitting because the inventive details gave it great plot momentum.  I had my suspicions about who did it but kept moving my distrust from one character to another – well written.  Can’t wait for Hazel to have the next case.  You rock girl!'), ('Gailmarie', ""Yeah, it was Explosive!! Can't state it any other way. This author writes with panache. I will be reading other books she pens. He seriously knows how to get a knee jerk reaction. The characters in the book seem to become real; immersing the reader within it's pages and inspires speed reading.""), ('Peggy Kindt', 'I have to state I do not support the theme of the plot, although it\'s a reality all too often in society. This is the type of story that does touch the recesses of the mind; is best described linguistically as ""triggers"" within a person who abhors violence, child trafficking and depraved men and women who give in to evil. SUN; 03242024.')]"
"  365 AWESOME RANDOM USELESS FACTS: Amaze and Annoy others with Awesome Useless Knowledge Fun Facts and Trivia for kids 8-10,10-12, teens, adults, family ",$2.99,Ships from,979-8475950432,"[('Amazon Customer', 'Bought for my Dad and he loved it!'), ('ERJ', 'My kiddo is the king of random facts. He got this book and immediately started rattling off new facts. I plan to get him more!'), ('Ashlee Reagan', 'Ok!')]"
"  You are an Amazing Boy: A Collection of Inspiring Stories about Courage, Friendship, Inner Strength and Self-Confidence (Motivational Books for Children) ", $9.54 ,Ships from,979-1280592507,"[('Amazon Customer', ""This is honestly one of the best books I've ever seen of its kind. Had this been one of the foundational books that my mom or dad had read to me at bedtime when I was a young boy, this book (especially read to me by them) could have changed the trajectory of my life and saved me literally decades of self-hatred and ineffective therapy.""), ('Amazon Customer', 'I\'ve rarely encountered ANY book which paints for a boy a picture of the traits inherent within him that are GOOD. I grew up surrounded and bombarded by late \'60s/early \'70s feminist messages predicated on the idea that men and boys are bad and girls and women were the only ones with the positive traits that the world needed. Wired as a sensitive, intuitive boy, I picked up on the messages that I was inherently bad and that my greatest gift to society would be to elevate and support women ... while determinedly NOT BEING, trying to have my existence have as little impact on women and girls as possible. By age 10, I wanted to die. When a boy hears women saying things within earshot of him like, ""Men are the urine on the toilet seat of life"" (yes, a woman in a group I was in said that), it\'s easy for him in his immature understanding to think that the most altruistic thing he could do for the women and girls of the world would be to die.'), ('Chris Norden', 'But had my parents had read this life-saving book—YOU ARE AN AMAZING BOY—to me at bedtime, I would have grown up knowing—not in a stuck-up way, but rather in a benevolent way—that I was amazing, strong, capable, loving, that as a boy, I had good, helpful and valuable qualities, qualities that were a BLESSING—NOT a curse— to society, to girls and women, to men and other boys, to animals and the planet. And, had I known these things in the way this miraculous book teaches ... what a gift!!')]"
  The Roommate Situation: A Romantic Comedy (Only in Atlanta Book 1) ,    $0.00   ,Conor Brady is the hottest man I have ever laid eyes on. Ever. He’s also my new roommate.,,"[('Amazon Customer', 'The Roommate Situation, book 1 in Katie Bailey\'s Only in Atlanta series, had me smiling, sighing, and snort-laughing--many times, within the same chapter! Jess\'s wry humor and Conor\'s smooth ""explanations"" of ridiculous situations combined in a sweet romance between a frustrated artist and a house flipper staying at his friend\'s house temporarily.'), ('Kindle Customer', 'Jessica Shaw has left her disappointing and disappointed New York City life to return to her hometown of Atlanta. Single, not by choice--her boyfriend of six years cheated on her with a successful corporate woman, while Jess has been waiting tables at a circus themed restaurant and trying to sell any of her paintings. She calls her brother, Aiden, to announce her imminent arrival and cuts off his attempt to prolong the conversation by ending the call, prancing through the door, dropping her bags on the foyer floor...and throwing her beloved fern at the strange man who walks into the room.'), ('@imfullybooked2', ""Conor Brady, just back from a run, escapes uninjured--which is more than can be said for poor Fernie--and vacuums up the potting soil from the hallway carpet. Jess finishes her shower in Aiden's bathroom, emerges from his  bedroom, which she's moved into--typical younger sister behavior--and charms Conor with her down-to-earth personality and cute looks. Meanwhile, she's rendered speechless by his extreme handsomeness and gently teasing comments. Aiden warns his sister, via cell phone from his business trip to L.A., that Conor is a ladies' man, but by then Jess is too far gone."")]"
 Taste: My Life Through Food ,    $0.00   ,Instant ,,"[('Amazon Customer', 'Tucci, S. (2021). Taste: My life through food. Gallery Books.'), ('Alicia Crumpton', 'Stanley Tucci is an actor and a filmmaker.  He brought his love of food in the series Searching for Italy where he took viewers on a food tour of Italy.'), ('Alicia Crumpton', 'I tend to like books that talk about food and Stanley Tucci\'s memoir was wonderful.  His description of pasta left my mouth watering to the point that I made spaghetti that very night.  He begins by talking about his mother\'s love of food:  ""there was a daily, almost obsessive focus on the quality of the ingredients, their careful preparation the passing on of family recipes, and cultural and culinary traditions.""  Weaving stories, recipes, and descriptions of food experiences and traditions we learn about Tucci as a young man, actor, and family man.  We also learn about his values.  For example, his mother exhorted, ""You can\'t know if you don\'t like something if you haven\'t had it.  You have to try it.  You have to try everything.""  He described food as ""connective tissue"" bringing people together.  Tucci noted, ""if you\'re a food lover, there is always something gratifying about connecting with the vegetable, the fruit, or whatever animal, whether you\'ve grown it, raised it, or hunted it, before it becomes your food.  But to make that connection and then connect with someone else simultaneously is an exalted, almost spiritual level of foodie intimacy.""  He reserved his experience of throat cancer until the chapter.  It was as though, the prior chapters were the prelude to fully understanding how threatening oropharyngeal cancer would be to a man who clearly loves food.  His diagnosis meant that for almost two years, he primarily ate easy to swallow foods.  Reflecting, he said: ""Food at once grounded me and took me to other places.  It comforted me and challenged me.  It was part of the fabric that made up my creative self and my domestic self.""')]"
  The Gruffalo , $6.70 ,Ships from,978-0142403877,"[('Amazon Customer', ""It's now a classic in the USA!  Great story with a lot of colorful pages that children love.""), ('Amazon Customer', 'This is kinda like a classic now! I loved that it was red and added it to a stocking for my kid at Christmas. It is a great book that is fun to read!'), ('Nancypants', 'This is one of my favorite books to read to my kids. They enjoy it too! Photos are nice and it has a nice rhyming rhythm making it an easy read! I bought this second copy for a friend when she had her baby!')]"
  Little Blue Truck's Springtime: An Easter And Springtime Book For Kids , $9.36 ,Ships from,978-0544938090,"[('Amazon Customer', 'cute book for my grandson, pictures are bright and colorful. Will definitely purchase more books for him.'), ('Amazon Customer', 'My kids have grown up hearing us read the little blue truck books. Loooove them.'), ('A Roth', 'We read this all the time - so cute!')]"
  Funny Program Director Coloring Book: A Snarky & Sweary Adult Coloring Book For Program Director: Meditative coloring book for Program Director: ... Coworker Coloring BookA Snarky & Swear , $9.99 ,Ships from,979-8397765848,
  Christmas Coloring Book for kids: easy christmas large print coloring book.A Christmas and Winter Coloring Pages For Adults.beautiful christmas coloring book for adult , $8.99 ,Ships from,979-8357768742,
  The Ultimate RPG Character Backstory Guide: Prompts and Activities to Create the Most Interesting Story for Your Character (Ultimate Role Playing Game Series) ,$12.99,Ships from,978-1507208373,"[('Amazon Customer', ""I use this book CONSTANTLY when making new characters or even for filling in gaps after giving a character a break and coming back with a level change.  It's not just for TTRPG characters though; the exercises in this book are also great for creating a character in writing.  Highly recommend this for anyone who plays TTRPGs or writes, whether you struggle with character creation/development or not.  This book is a serious game changer.""), ('Random Bailey', 'This book is a really useful tool for helping generate backstory ideas during character creation. Either for a Player Character or a Non Player Character this book provides a good stepping stone in the process.'), ('Frank D', '  It’s simple and open format is not intended as a specific regimen to be followed for Character Generation nor is it just an endless list of random tables. Instead it is a system neutral collection of brief themed exercises with questions and some random tables. These exercises are written in a way as if a GM were providing a scenario for you or asking you the questions and even have some die rolls for certain resolutions and possibilities.')]"
