Name,Location,Price,Date Posted,Product URL,Image URL
retro Raleigh solitaire 3 speed bike,"Stockport, Manchester",£40.00,10 mins ago,https://www.gumtree.com/p/bicycles/retro-raleigh-solitaire-3-speed-bike-/1478123275,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c56e92c-ae65-4991-769d-58d98eb3de00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/448dd210-6892-4c49-4327-b922ee6c2600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d7c5947a-cfd5-4ef6-2b02-1a6f099b9800/86']"
Trek Domane road bike,"Harrogate, North Yorkshire",£530.00,16 days ago,https://www.gumtree.com/p/bicycles/trek-domane-road-bike/1477162706,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/41b7af1a-e852-4e1f-c51e-9420ff9a1d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/fb09ab9c-1fde-4cde-38fe-733157455500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d7c5947a-cfd5-4ef6-2b02-1a6f099b9800/86']"
GT Pro Performer 26" BMX Heritage COLOURWAY WOW!,"Lincoln, Lincolnshire",£425.00,7 days ago,https://www.gumtree.com/p/bicycles/gt-pro-performer-26-bmx-heritage-colourway-wow-/1475303656,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d440b433-2a9a-4144-ff0b-bd60b0ab1800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/743fafae-66bd-45db-cc63-8b261960bc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d7c5947a-cfd5-4ef6-2b02-1a6f099b9800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a971345c-5c83-42c9-1a18-d657bf2bba00/86']"
Babboe Dutch cargo bike (trike),"Islington, London",£900.00,2 days ago,https://www.gumtree.com/p/bicycles/babboe-dutch-cargo-bike-trike-/1477978518,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/202e12dc-c4de-41bc-1222-7a4268e97400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/38d5f128-6ff7-4e82-14ff-05288a662d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d7c5947a-cfd5-4ef6-2b02-1a6f099b9800/86']"
Qwik Urban ebike,"Bath, Somerset",£500.00,6 days ago,https://www.gumtree.com/p/bicycles/qwik-urban-ebike/1477737063,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a98eb7ff-a68d-4d62-e174-08118ae33d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1f164b06-7da8-47dc-6dec-5c637d476500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d7c5947a-cfd5-4ef6-2b02-1a6f099b9800/86']"
Hybrid bike - Trek Dual Sport 2,"Rosewell, Midlothian",£275.00,14 days ago,https://www.gumtree.com/p/bicycles/hybrid-bike-trek-dual-sport-2/1477288076,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8fd0e20c-5086-4b7d-7d83-a8917715df00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/fe12a8c5-fb31-4244-f107-90b3ed129b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2117d5eb-bbc4-4181-428b-42f42662ad00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86']"
NOLOGO Fixie single speed road bike 21in/53cm light alloy frame,"Leeds, West Yorkshire",£125.00,10 mins ago,https://www.gumtree.com/p/bicycles/nologo-fixie-single-speed-road-bike-21in-53cm-light-alloy-frame/1478123281,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a434d658-77d3-4c5e-9a4f-b0376b49a200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d234a1e4-944e-4b13-54ad-1744fc744100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d7c5947a-cfd5-4ef6-2b02-1a6f099b9800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a971345c-5c83-42c9-1a18-d657bf2bba00/86']"
Halfords Urban Helmet - Brand New,"Corsham, Wiltshire",£25.00,10 mins ago,https://www.gumtree.com/p/bicycles/halfords-urban-helmet-brand-new/1478123282,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7d681156-5abf-4e5f-380a-847c0fcf9d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/67f2c95c-48b0-4516-f06c-3d2c5469f600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2117d5eb-bbc4-4181-428b-42f42662ad00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86']"
Specialised stunt jumper carbon fibre mountain bike,"Southampton, Hampshire",£695.00,10 mins ago,https://www.gumtree.com/p/bicycles/specialised-stunt-jumper-carbon-fibre-mountain-bike-/1478123303,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d2629992-d6f3-49ab-e970-893e2c334600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d466be1a-e77d-4acb-4b71-2ab18ec14900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2117d5eb-bbc4-4181-428b-42f42662ad00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86']"
Folding Bicycle Bike 20-inch (Free Helmet),"Tower Bridge, London",£149.00,9 mins ago,https://www.gumtree.com/p/bicycles/folding-bicycle-bike-20-inch-free-helmet-/1451006657,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a3a2b07d-e5b7-4757-b1a2-dc6629ff6500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f5fc42b0-338b-4c45-7d83-b11fe8a5da00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2117d5eb-bbc4-4181-428b-42f42662ad00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d20852c-5816-4d66-6046-f9440ba4e600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef46f6ae-8a6e-4ca0-e942-c930d2888700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4abcedea-e96f-4202-b4ef-81b127fbca00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d831c95c-df4f-461b-38cc-e8eec0735d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f79af360-0bb3-4479-f432-53cd2c2edc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c4182cf9-358a-40b4-8392-5a1c884e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/943a97f9-c196-4c05-8ff1-24489fbce700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bcf7cf72-8de5-4da9-9102-19912edc5400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/13a675eb-5571-46e6-db2b-b7bae87b2100/86']"
