Name,Location,Price,Date Posted,Product URL,Image URL
Carrera luna girls bike,"Troon, South Ayrshire",£120.00,11 mins ago,https://www.gumtree.com/p/bicycles/carrera-luna-girls-bike/1472695118,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/545f9cf3-ee66-4c7e-d166-95735150ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ba6c8717-2e0d-4470-8170-38ab4dd99800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1bd00685-cd55-43b5-6376-63607b7efa00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c963f609-b194-4d6b-df43-8483d6854400/86']"
Kona dew bicycle,"Hull, East Yorkshire",£125.00,6 days ago,https://www.gumtree.com/p/bicycles/kona-dew-bicycle-/1477744696,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4a304573-bb8e-4a19-eab9-c32d8d675d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7e332913-6d40-46a3-2903-6c64722f1000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ba6c8717-2e0d-4470-8170-38ab4dd99800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1bd00685-cd55-43b5-6376-63607b7efa00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c963f609-b194-4d6b-df43-8483d6854400/86']"
BMX Mongoose Scan R60,"Oxford, Oxfordshire",£50.00,12 days ago,https://www.gumtree.com/p/bicycles/bmx-mongoose-scan-r60/1477437805,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c86cede5-4872-4dc7-939c-22d48b037f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/48ee6d45-a21a-4d80-7303-2d5d94228000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ba6c8717-2e0d-4470-8170-38ab4dd99800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1bd00685-cd55-43b5-6376-63607b7efa00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c963f609-b194-4d6b-df43-8483d6854400/86']"
Whyte E150 rs REDUCED,"Gosforth, Tyne and Wear","£2,500.00",23 days ago,https://www.gumtree.com/p/bicycles/whyte-e150-rs-reduced-/1473834716,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5e5be083-5974-488d-8420-bbb147c57a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/188cca18-11a6-4ee3-9183-8e91bfdfd700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ab01801b-8c9b-4ed4-f977-05b6d777ee00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ba6c8717-2e0d-4470-8170-38ab4dd99800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1bd00685-cd55-43b5-6376-63607b7efa00/86']"
Small gents/teens trek mountain bikes 15’’ alloy frame £70,"York, North Yorkshire",£70.00,11 mins ago,https://www.gumtree.com/p/bicycles/small-gents-teens-trek-mountain-bikes-15-alloy-frame-%C2%A370/1478143892,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/59ea88f4-b02d-40d0-0afd-60bdbc9a5c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/07104eec-fe42-4c56-f301-8f628e824f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/dc8220e1-a386-40a2-7d7d-f77036098600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bfb184ac-36f8-4ac4-37ff-6a126140bd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ba6c8717-2e0d-4470-8170-38ab4dd99800/86']"
Childrens bicycle,"Liverpool, Merseyside",£20.00,10 mins ago,https://www.gumtree.com/p/bicycles/childrens-bicycle-/1452957378,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bf510c42-f284-4c3d-3f22-f80569137000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d2a1bf79-ae28-486e-241f-2eeb704f9a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ba6c8717-2e0d-4470-8170-38ab4dd99800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1bd00685-cd55-43b5-6376-63607b7efa00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c963f609-b194-4d6b-df43-8483d6854400/86']"
GT Aggressor Hardtail in fabulous condition.,"Leicester, Leicestershire",£235.00,10 mins ago,https://www.gumtree.com/p/bicycles/gt-aggressor-hardtail-in-fabulous-condition./1478143946,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2b10e0e7-1685-4e0d-afd2-f6e238327200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/473a4999-0c09-41d5-d87a-bec5564b0400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/dc8220e1-a386-40a2-7d7d-f77036098600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ab01801b-8c9b-4ed4-f977-05b6d777ee00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bfb184ac-36f8-4ac4-37ff-6a126140bd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86']"
E bike,"Acton, London",£400.00,9 mins ago,https://www.gumtree.com/p/bicycles/e-bike-/1478143963,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/88da70cf-1b56-421a-940a-cb1ae76dac00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8b357d3f-e758-4660-0e1a-30ee76503100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/dc8220e1-a386-40a2-7d7d-f77036098600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ab01801b-8c9b-4ed4-f977-05b6d777ee00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bfb184ac-36f8-4ac4-37ff-6a126140bd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86']"
Boys balance bike,"Sileby, Leicestershire",£15.00,9 mins ago,https://www.gumtree.com/p/bicycles/boys-balance-bike-/1478143972,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9edb3635-d1b6-4f79-7187-75420a054800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/dc8220e1-a386-40a2-7d7d-f77036098600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ab01801b-8c9b-4ed4-f977-05b6d777ee00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bfb184ac-36f8-4ac4-37ff-6a126140bd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86']"
Ladies mountain bike 16’’ frame £60,"York, North Yorkshire",£60.00,8 mins ago,https://www.gumtree.com/p/bicycles/ladies-mountain-bike-16-frame-%C2%A360/1478144022,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9e2fffb0-3efb-4751-b99f-cf21e384d000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/dc8220e1-a386-40a2-7d7d-f77036098600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ab01801b-8c9b-4ed4-f977-05b6d777ee00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bfb184ac-36f8-4ac4-37ff-6a126140bd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8f7f93c1-3c17-490b-f294-3471ef358900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c2fb9cb-ca9b-4af4-4071-dab081896200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d236f47-cee2-478c-6022-1f03b4447500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/19ccb551-4e39-4be5-7244-855e10280b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ec007c0-db9a-47b9-b603-1dcee8b39e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0fd0896f-c6ef-4ddb-5fba-33289d5bf000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f573da23-82d2-4975-8418-6aa8165bf400/86']"
