Name,Location,Price,Date Posted,Product URL,Image URL
2 x 24inch Ridgeback Dimension kids bicycles.,"Northfield, West Midlands",£150.00,1 day ago,https://www.gumtree.com/p/bicycles/2-x-24inch-ridgeback-dimension-kids-bicycles.-/1478023196,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/23c34550-d202-4165-73ef-409e345e8400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2209e2d4-7b7e-4ecf-e9f7-539f3c1e5500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/084b976b-7cd1-4956-01ab-e750e8680300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/248287a3-43d4-42f4-fd59-7756b6253300/86']"
Superb Moda road bike,"Hackney, London",£380.00,6 days ago,https://www.gumtree.com/p/bicycles/superb-moda-road-bike/1477752355,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0033114c-de1f-4a16-4f13-a39fd8c29700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/eba58713-1066-4a95-68a7-dc4b91182300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f33ce132-8b5e-4662-dd49-e0796f83fc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/70107068-0bcd-4a79-8e3e-a6c84f849a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86']"
"Carrera Cross Fit 1 - Medium Men's Hybrid bike with mudguards, lock an","Croydon, London",£150.00,9 days ago,https://www.gumtree.com/p/bicycles/carrera-cross-fit-1-medium-men-s-hybrid-bike-with-mudguards-lock-an/1477539593,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74ba738f-1db3-4077-6dcd-8efcca20a500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b23a3aad-98da-4517-c684-6435b3b35200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/70107068-0bcd-4a79-8e3e-a6c84f849a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/084b976b-7cd1-4956-01ab-e750e8680300/86']"
Specialized Crosstrail Sport Disc with everything you could possibly need,"Hook, Hampshire",£399.00,4 days ago,https://www.gumtree.com/p/bicycles/specialized-crosstrail-sport-disc-with-everything-you-could-possibly-need/1477840873,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a18e96dd-d821-4ed3-5f91-28665467e000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/fc5cb818-5438-4ab9-7f3a-025000dc8100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/084b976b-7cd1-4956-01ab-e750e8680300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/248287a3-43d4-42f4-fd59-7756b6253300/86']"
Bicycle,"Lisnaskea, County Fermanagh",£50.00,5 days ago,https://www.gumtree.com/p/bicycles/bicycle-/1477773877,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b49b2fe0-8934-4ec8-7b03-1438badb6700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/084b976b-7cd1-4956-01ab-e750e8680300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/248287a3-43d4-42f4-fd59-7756b6253300/86']"
Brand new unused Carrera road bike,"Mill Hill, London",£189.00,13 days ago,https://www.gumtree.com/p/bicycles/brand-new-unused-carrera-road-bike-/1477372350,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/02bfd961-6c54-4e42-9185-47e9f6405200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/576ea745-bc26-4c1a-1d26-38b8bedd0500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/084b976b-7cd1-4956-01ab-e750e8680300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/248287a3-43d4-42f4-fd59-7756b6253300/86']"
Trek Procaliber 9.7 Carbon hardtail mountain bike 2023,"Sacriston, County Durham","£1,390.00",5 days ago,https://www.gumtree.com/p/bicycles/trek-procaliber-9.7-carbon-hardtail-mountain-bike-2023/1477793115,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4d9a29aa-fd8c-4fad-4cf5-07f286410400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b6dedc67-9755-48d7-797c-df5dd18a4100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f33ce132-8b5e-4662-dd49-e0796f83fc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86']"
Giant short ladies cheap mountain bike,"Stretford, Manchester",£75.00,7 days ago,https://www.gumtree.com/p/bicycles/giant-short-ladies-cheap-mountain-bike-/1477707113,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c62fed7b-f623-4144-10d0-d954c93f1f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e2790e03-aad8-4959-fc39-87cb9f91bd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f33ce132-8b5e-4662-dd49-e0796f83fc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/70107068-0bcd-4a79-8e3e-a6c84f849a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86']"
"2023 Specialized Rockhopper Large 29” wheels (like new, used once)","Peebles, Scottish Borders",£400.00,5 days ago,https://www.gumtree.com/p/bicycles/2023-specialized-rockhopper-large-29-wheels-like-new-used-once-/1477800029,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a96b79bc-3581-4c88-ffca-e6f5f5b5c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/28899714-d13f-472e-8bd6-242796b5b000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f33ce132-8b5e-4662-dd49-e0796f83fc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86']"
Carrera Subway 1 Mens Bike,"Leith, Edinburgh",£60.00,3 days ago,https://www.gumtree.com/p/bicycles/carrera-subway-1-mens-bike/1477945790,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3950f087-08d4-48de-0550-adc834273000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8b4a7920-07cf-4e2d-3cb5-715c30f07f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f33ce132-8b5e-4662-dd49-e0796f83fc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a09a8389-3fad-4b65-7c0b-9251da56ff00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/11831b43-85f8-4879-722d-93be7099c000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6d192501-c9f9-4475-370a-51819ecd6100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/171e2fb4-d8ea-4bfc-626a-48a36fdb3500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/afac11c6-498d-4775-e4e8-a9d70d4fd100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ad73570-2230-448f-1d7c-e3028f743d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ef72b434-5a4a-4c71-8097-6398dad30900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/82d60721-9814-44ea-bd58-ffa3daa49200/86']"
