Name,Location,Price,Date Posted,Product URL,Image URL
Diamond back DBX Race,"Southampton, Hampshire",£60.00,8 mins ago,https://www.gumtree.com/p/bicycles/diamond-back-dbx-race/1474111182,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4ac666d5-6498-407b-b058-86d607a31800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/14f239eb-7747-4a1f-d2e7-6b7549414600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
Menís 56î Fuji Road Bike,"Roundhay, West Yorkshire",£150.00,3 days ago,https://www.gumtree.com/p/bicycles/men-s-56-fuji-road-bike/1476825977,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/44131525-4549-4fba-05b5-96f2d2e66200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6011bf5f-a3a5-4172-04a6-be04c7f09a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
Moulton Deluxe 4 speed circa 1965,"Ashbourne, Derbyshire",£60.00,3 days ago,https://www.gumtree.com/p/bicycles/moulton-deluxe-4-speed-circa-1965/1477920703,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c7d5db62-8b75-4aa3-9a22-72a6ced3a500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/43f73c8b-6605-4733-bcb7-f338ae4ef700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00/s/NzY4WDEwMjQ=/z/reIAAOSwgNFjcpBA/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86']"
Cannondale Scalpel Se 2 Carbon Fiber Mountain Bike Xc,"East End, Glasgow","£2,300.00",6 days ago,https://www.gumtree.com/p/bicycles/cannondale-scalpel-se-2-carbon-fiber-mountain-bike-xc-/1477756413,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/88315caf-035e-42be-404c-5de99e039300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9730416f-e6bf-43a8-bd71-103108849400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
MTB BIKE,"Barnet, London","£1,400.00",5 days ago,https://www.gumtree.com/p/bicycles/mtb-bike-/1477790046,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/83767516-6cc1-4d5c-83f4-a78e7555bc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2ca41690-c1ed-416f-ca40-1c660934d900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
Girls mountain bike,"Bow, London",£40.00,8 mins ago,https://www.gumtree.com/p/bicycles/girls-mountain-bike/1478119119,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5367b729-336b-463a-fe8e-7541697b7000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
Apollo Jewel ladies mountain bike 18 speed. Grey colour.,"Brighton, East Sussex",£60.00,8 mins ago,https://www.gumtree.com/p/bicycles/apollo-jewel-ladies-mountain-bike-18-speed.-grey-colour./1478119132,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3b111bdf-7016-46df-f1e5-e921ea2f4900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/aeba6778-9b82-417d-3607-36c0f71e0200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
Genesis Altitude Steel Mountain Bike - Reynolds 725 - Size Small.,"Gloucester, Gloucestershire",£220.00,8 mins ago,https://www.gumtree.com/p/bicycles/genesis-altitude-steel-mountain-bike-reynolds-725-size-small./1473905153,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cf8c0269-b42b-4a18-e732-b2f7bd06c500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/fd07ec7b-2d62-47d5-a1c9-466fd9e52200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
Retro Ladies Road Bike - Raleigh Misty - £70,"Llandaff, Cardiff",£70.00,7 mins ago,https://www.gumtree.com/p/bicycles/retro-ladies-road-bike-raleigh-misty-%C2%A370/1478119169,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7ba54176-fcc3-4230-62b9-222c5e59c500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/38b62820-1875-4572-899e-97d8b5b0e300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/deb028da-7154-41aa-0d2d-e9d95e373a00/86']"
SARACEN RAW MOUNTAIN BIKE FOR SALE.(FUULY SERVICED),"Bournemouth, Dorset",£60.00,7 mins ago,https://www.gumtree.com/p/bicycles/saracen-raw-mountain-bike-for-sale.-fuuly-serviced-/1478119197,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c92a8d6e-001a-44d3-3fc9-966f07d65e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2e345692-ead9-45f1-73b1-470a9eced200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e5019f8a-0577-469b-f39c-865604e22800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e033252a-a9b1-47d8-2d75-58a4c1bfae00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/962a3678-73e6-46fb-91b8-827f3d271600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/5ba61a2b-8606-4626-5ea3-c8e168fcc000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/58efcd31-897a-4c23-69ba-9a9663e6bf00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/42fd6678-564f-43be-3762-0cc802d7ef00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b05309f5-85da-43aa-ee59-95928be55800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0e07cd3c-b5d0-4b2c-06c1-2488e844e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/9a16786f-ca1e-4288-5a23-2bd6269ada00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/bb7d9429-80f9-4f70-7ead-6a251d038b00/86']"
