Name,Location,Price,Date Posted,Product URL,Image URL
mens cycle,"Welshpool, Powys",?100.00,2 days ago,https://www.gumtree.com/p/bicycles/mens-cycle/1477977894,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74dc05c4-4502-49fe-753b-98cb64ba5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cfbb4fe5-64af-4f1e-bfda-017078fe2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ff6b2a9b-f104-4284-cbdc-33285829d700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/f75f0b3a-f507-4325-5218-a6960224f900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0c148344-0976-4e60-0e81-634145688b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/12ae1af0-7a46-40d7-c3eb-6be846678100/86']"
Bike for sale in Islington,"Islington, London",?300.00,1 day ago,https://www.gumtree.com/p/bicycles/bike-for-sale-in-islington/1478047675,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/716fd15a-6c96-475d-7041-2e7771d0e500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/464f2689-878e-4173-1bf3-d7909ef75e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74dc05c4-4502-49fe-753b-98cb64ba5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cfbb4fe5-64af-4f1e-bfda-017078fe2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ff6b2a9b-f104-4284-cbdc-33285829d700/86']"
Gogo best electric bike,"Ince, Manchester","?1,000.00",3 days ago,https://www.gumtree.com/p/bicycles/gogo-best-electric-bike-/1477899323,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4943f294-1d48-4313-24df-360b3f9ce100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1ce80b82-116a-4391-2c48-717c71a5eb00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74dc05c4-4502-49fe-753b-98cb64ba5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cfbb4fe5-64af-4f1e-bfda-017078fe2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ff6b2a9b-f104-4284-cbdc-33285829d700/86']"
Cannondale Topstone Carbon 3 Gravel Bike - M -,London,"?2,250.00",6 days ago,https://www.gumtree.com/p/bicycles/cannondale-topstone-carbon-3-gravel-bike-m-/1476231116,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1f98787b-964b-4ecc-ff31-c0f6f9377000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b6e8be50-4332-4550-30a2-3961d600e900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74dc05c4-4502-49fe-753b-98cb64ba5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cfbb4fe5-64af-4f1e-bfda-017078fe2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ff6b2a9b-f104-4284-cbdc-33285829d700/86']"
Carrera parva woman's hybrid nike,"Cumbernauld, Glasgow",?100.00,5 days ago,https://www.gumtree.com/p/bicycles/carrera-parva-woman-s-hybrid-nike/1477800193,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/af727c88-061e-4d42-4928-1c662b3b2a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2e2cdebe-fb27-40a2-ad4e-bcd9f5a23200/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74dc05c4-4502-49fe-753b-98cb64ba5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cfbb4fe5-64af-4f1e-bfda-017078fe2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ff6b2a9b-f104-4284-cbdc-33285829d700/86']"
Claudbutler urban 100 gents commuting bike fully serviced,"Stretford, Manchester",?90.00,27 days ago,https://www.gumtree.com/p/bicycles/claudbutler-urban-100-gents-commuting-bike-fully-serviced-/1476536214,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/fa78d288-ce5b-44ff-b898-49db8591c100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/dde3b4d7-fcff-4853-c8ef-3a0e45339f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/74dc05c4-4502-49fe-753b-98cb64ba5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cfbb4fe5-64af-4f1e-bfda-017078fe2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ff6b2a9b-f104-4284-cbdc-33285829d700/86']"
"Boys Bike  (teens) - 16 inch frame, 26 inch wheels - Indi Kaisa REDUCED!!!","York, North Yorkshire",?25.00,29 days ago,https://www.gumtree.com/p/bicycles/boys-bike-teens-16-inch-frame-26-inch-wheels-indi-kaisa-reduced-/1476423952,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e12abde9-73c6-44a3-5d54-5818aa5a5e00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/cc85f1e4-85b8-4a58-d2f2-2efa08e6a100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0ab0ec8a-9233-4952-a57c-dc019f588300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1eacaf8e-133f-496b-444c-792f86f6b400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00/s/NjMwWDEwMjQ=/z/8TQAAOSwV25jmBt5/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/17707f3e-5e48-4fa1-ebac-cc9d60a1c300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6aa2d385-4f23-415e-4fef-9bf9eee04100/86']"
Specialized Enduro mountain bike,"Backwell, Bristol",?350.00,9 days ago,https://www.gumtree.com/p/bicycles/specialized-enduro-mountain-bike/1477586257,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/2887fc5b-39e8-4b64-92bd-d9207975cb00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c264cd2-87ac-4f1b-59ea-90973a82ac00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d708026c-00dd-4a53-2e7d-3f01336b3f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0ab0ec8a-9233-4952-a57c-dc019f588300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1eacaf8e-133f-496b-444c-792f86f6b400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c9c0f403-8a10-48c0-2f14-23ec30ad9400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8ea4894e-b142-4fc3-3f8c-89a1ef3c4c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00/s/NjMwWDEwMjQ=/z/8TQAAOSwV25jmBt5/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86']"
Brompton C Line Electric Folding Bike . Current Model . House Red.,Bristol,"?2,050.00",15 days ago,https://www.gumtree.com/p/bicycles/brompton-c-line-electric-folding-bike-.-current-model-.-house-red./1476234072,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/262a85be-325e-498e-9f9b-12f00e8de100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d708026c-00dd-4a53-2e7d-3f01336b3f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0ab0ec8a-9233-4952-a57c-dc019f588300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1eacaf8e-133f-496b-444c-792f86f6b400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c9c0f403-8a10-48c0-2f14-23ec30ad9400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8ea4894e-b142-4fc3-3f8c-89a1ef3c4c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00/s/NjMwWDEwMjQ=/z/8TQAAOSwV25jmBt5/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86']"
Specialized StumpJumper - Hardtail plus Road wheels,"Notting Hill, London",?650.00,2 days ago,https://www.gumtree.com/p/bicycles/specialized-stumpjumper-hardtail-plus-road-wheels/1477955476,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/672166fa-96bc-419f-755e-6e6493812100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/783795aa-6d34-4525-1d6d-9e860e614100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/d708026c-00dd-4a53-2e7d-3f01336b3f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0ab0ec8a-9233-4952-a57c-dc019f588300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1eacaf8e-133f-496b-444c-792f86f6b400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c9c0f403-8a10-48c0-2f14-23ec30ad9400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/8ea4894e-b142-4fc3-3f8c-89a1ef3c4c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00/s/NjMwWDEwMjQ=/z/8TQAAOSwV25jmBt5/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/1c76fe4b-d724-4580-6ce8-ac3b92f7c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/60246c6e-ff5c-42e4-0276-7b80faf51f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/efa8dcfb-0264-4dbe-be7e-c5b6af1b2d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/3433213a-506d-4186-61f1-cf533eea4800/86']"
