Name,Location,Price,Date Posted,Product URL,Image URL
Giant Defy O medium 19 inch,"Milton Keynes, Buckinghamshire",£250.00,8 days ago,https://www.gumtree.com/p/bicycles/giant-defy-o-medium-19-inch/1477604547,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7aac7872-e68f-4a76-eb20-395140ca7b00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/6cc85889-b815-4d30-784a-15d6874c6d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/494153e7-4e77-4d1b-c916-0de68dd53700/86']"
"2023 Specialized Rockhopper Large 29î wheels (like new, used once)","Peebles, Scottish Borders",£420.00,4 days ago,https://www.gumtree.com/p/bicycles/2023-specialized-rockhopper-large-29-wheels-like-new-used-once-/1477800029,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a96b79bc-3581-4c88-ffca-e6f5f5b5c800/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/28899714-d13f-472e-8bd6-242796b5b000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/494153e7-4e77-4d1b-c916-0de68dd53700/86']"
Stunning 2023 Electric Trek Hybrid Bicycle - Dual Sport +2 Size Large,"Southwark, London",£800.00,4 days ago,https://www.gumtree.com/p/bicycles/stunning-2023-electric-trek-hybrid-bicycle-dual-sport-2-size-large/1477843989,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/b454f287-1c4a-4a2b-8665-66346c2c0600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/ee3e8a47-5bc3-4aeb-1ea3-d11058b10c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/494153e7-4e77-4d1b-c916-0de68dd53700/86']"
Giant Propel Advance 2 and Accessories,"Kings Norton, West Midlands",£850.00,7 days ago,https://www.gumtree.com/p/bicycles/giant-propel-advance-2-and-accessories/1477630172,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/436030a0-f146-49ba-2c22-376faf779500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/25d19642-5c55-4b2c-d969-07948681d000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/494153e7-4e77-4d1b-c916-0de68dd53700/86']"
Lovely Girls Carrera Crossfire 16 inch Bike,"Elgin, Moray",£120.00,10 days ago,https://www.gumtree.com/p/bicycles/lovely-girls-carrera-crossfire-16-inch-bike/1477457179,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a3d3daca-42ab-471f-c5de-d0c22a48a600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4eb90b88-096d-4699-d164-c768e2e87f00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/494153e7-4e77-4d1b-c916-0de68dd53700/86']"
Trek Emonda SL 5 Disc - SIZE 52,"Winchester, Hampshire","£1,500.00",5 days ago,https://www.gumtree.com/p/bicycles/trek-emonda-sl-5-disc-size-52-/1477746342,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/49b21d69-aa20-43eb-f5ae-142369746400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/721d13fa-d68b-421c-b544-e7e132ee6000/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/494153e7-4e77-4d1b-c916-0de68dd53700/86']"
Trek One Seris 1.5 Bike,"Stockton Heath, Cheshire",£375.00,8 days ago,https://www.gumtree.com/p/bicycles/trek-one-seris-1.5-bike/1477611195,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7261a212-7677-4c6d-ed69-2c8689943700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a6aa5041-a69d-4be1-848c-7f34af759300/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4db88299-0c68-49de-b83a-a01867fd6700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86']"
Raleigh Transcend with indoor trainer,"Carrickfergus, County Antrim",£150.00,10 days ago,https://www.gumtree.com/p/bicycles/raleigh-transcend-with-indoor-trainer-/1477489477,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4b707880-ef53-4410-0807-07683a55f900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/08e9dd64-075a-4056-c146-429c15f4bc00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4db88299-0c68-49de-b83a-a01867fd6700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86']"
Full suspension mountain bike. Vitus Rapide FS. Size medium.,"Linlithgow, West Lothian",£800.00,14 days ago,https://www.gumtree.com/p/bicycles/full-suspension-mountain-bike.-vitus-rapide-fs.-size-medium./1477250579,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/08bb587a-6fd8-4e41-eed2-17d253abda00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/36f92734-38e7-4f22-1dcb-b1bb3adc8d00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4db88299-0c68-49de-b83a-a01867fd6700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86']"
Mens road bike,"Blackfield, Hampshire",£160.00,11 days ago,https://www.gumtree.com/p/bicycles/mens-road-bike/1477422438,"['https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/715e5d1a-ede5-4f89-ddb6-e5a5c5c98a00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/90d283d3-2388-4755-3462-2f5cf8e6b100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4db88299-0c68-49de-b83a-a01867fd6700/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/e4522b41-da44-43e5-d66b-50f0c6480500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/a97ac3df-e066-4f19-7e2c-22659e558500/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/4cbd1db0-1b80-4c05-1481-85a15a957900/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/7b0534ab-c2a5-4b6c-b5b3-112229658c00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c3729f41-75cc-4d5b-66bd-5853a57ccd00/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/c79232c2-70a9-4705-4bef-d7459061d100/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/0dfde8c2-2cbf-4bd5-1316-2edabcbee600/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/489a1bd2-ea74-4f8a-4e55-2724b678d400/86', 'https://imagedelivery.net/ePR8PyKf84wPHx7_RYmEag/00b624a6-709f-4b83-a14c-5484da7f4700/86']"
