Address,City,Province,Postal Code,City Assessment 2024,Sold Price,Sold Date,Last Estimated Price,Last Estimated Date,URL
3760 DOVER RIDGE DRIVE SE,Calgary,Alberta,T2B2C9,424000,155850,2002-03-26T00:00:00.000Z,511500,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/3760-dover-ridge-drive-se-calgary-ab
8903 36 AVENUE NW,Calgary,Alberta,T3B1W5,378500,,1923-11-29T00:00:00.000Z,516800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/8903-36-avenue-nw-calgary-ab
9716 3 STREET SE,Calgary,Alberta,T2J0X1,711500,764700,2024-04-19T00:00:00.000Z,803500,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9716-3-street-se-calgary-ab
402 ASTORIA CRESCENT SE,Calgary,Alberta,T2J0Y5,543500,130000,1995-10-19T00:00:00.000Z,646700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/402-astoria-crescent-se-calgary-ab
808 ARCHWOOD ROAD SE,Calgary,Alberta,T2J1C4,506500,181500,2004-05-13T00:00:00.000Z,583500,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/808-archwood-road-se-calgary-ab
7135 FOUNTAIN ROAD SE,Calgary,Alberta,T2H0W7,554500,575000,2023-09-07T00:00:00.000Z,638800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/7135-fountain-road-se-calgary-ab
421 ASTORIA CRESCENT SE,Calgary,Alberta,T2J0Y4,567500,538240,2022-12-20T00:00:00.000Z,668900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/421-astoria-crescent-se-calgary-ab
9840 5 STREET SE,Calgary,Alberta,T2J1K9,496500,318500,2010-12-30T00:00:00.000Z,576800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9840-5-street-se-calgary-ab
420 ASTORIA CRESCENT SE,Calgary,Alberta,T2J0Y5,495500,195000,2003-10-25T00:00:00.000Z,578900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/420-astoria-crescent-se-calgary-ab
144 FIELDING DRIVE SE,Calgary,Alberta,T2H1H1,693500,619900,2021-06-17T00:00:00.000Z,825300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/144-fielding-drive-se-calgary-ab
360 84 AVENUE SE,Calgary,Alberta,T2H1N4,542000,160000,1999-09-30T00:00:00.000Z,702200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/360-84-avenue-se-calgary-ab
9824 7 STREET SE,Calgary,Alberta,T2J2T6,495000,,1985-06-27T00:00:00.000Z,577200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9824-7-street-se-calgary-ab
9819 7 STREET SE,Calgary,Alberta,T2J2T7,544000,439000,2016-07-02T00:00:00.000Z,632900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9819-7-street-se-calgary-ab
432 ABERDEEN ROAD SE,Calgary,Alberta,T2H1T1,594500,195000,2006-02-28T00:00:00.000Z,673800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/432-aberdeen-road-se-calgary-ab
604 ARLINGTON DRIVE SE,Calgary,Alberta,T2H1S7,793500,675000,2021-09-04T00:00:00.000Z,893400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/604-arlington-drive-se-calgary-ab
8811 ANCOURT ROAD SE,Calgary,Alberta,T2H1V4,508500,159000,1999-11-16T00:00:00.000Z,603800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/8811-ancourt-road-se-calgary-ab
9844 5 STREET SE,Calgary,Alberta,T2J1K9,558500,123000,1992-06-09T00:00:00.000Z,667700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9844-5-street-se-calgary-ab
9011 12 STREET SW,Calgary,Alberta,T2V1N9,661000,166000,1998-07-28T00:00:00.000Z,766300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9011-12-street-sw-calgary-ab
432 88 AVENUE SE,Calgary,Alberta,T2H1V1,612500,550000,2022-10-25T00:00:00.000Z,747200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/432-88-avenue-se-calgary-ab
10 HALLBROOK DRIVE SW,Calgary,Alberta,T2V3H4,655500,190000,1999-12-17T00:00:00.000Z,791100,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/10-hallbrook-drive-sw-calgary-ab
47 HALLBROOK DRIVE SW,Calgary,Alberta,T2V3H5,642500,23900,1971-03-04T00:00:00.000Z,801700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/47-hallbrook-drive-sw-calgary-ab
1420 96 AVENUE SW,Calgary,Alberta,T2V0Y4,646000,,2017-07-12T00:00:00.000Z,735300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/1420-96-avenue-sw-calgary-ab
1428 90 AVENUE SW,Calgary,Alberta,T2V0X2,790000,572500,2021-11-26T00:00:00.000Z,924800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/1428-90-avenue-sw-calgary-ab
66 HALLBROOK DRIVE SW,Calgary,Alberta,T2V3H6,590000,450000,2015-06-12T00:00:00.000Z,705500,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/66-hallbrook-drive-sw-calgary-ab
94 HALLBROOK DRIVE SW,Calgary,Alberta,T2V3H6,631500,,1976-08-13T00:00:00.000Z,766400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/94-hallbrook-drive-sw-calgary-ab
8793 Hutton Pl,Mission,British Columbia,V2V0C2,1102000,1165000,2021-09-13T00:00:00.000Z,1247400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/8793-hutton-pl-mission-bc
228 HADDON ROAD SW,Calgary,Alberta,T2V2Y6,574500,430000,2017-08-12T00:00:00.000Z,638200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/228-haddon-road-sw-calgary-ab
2 HAULTAIN PLACE SW,Calgary,Alberta,T2V3A6,692000,410000,2011-05-18T00:00:00.000Z,782600,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/2-haultain-place-sw-calgary-ab
