address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures
"15 Windella Crescent, Glen Waverley, Vic 3150","$850,000 - $900,000",3,1,"1,155",2,"Set on a huge block just moments from schools and shops is this charming family home bursting with possibilities. Whether you are on the hunt for a forever home or somewhere with development potential, this property is a must-see.,Currently, the home is spacious and open-plan with a combined lounge and dining room as well as a kitchen with a meals area. There are three bedrooms, two with built-in robes and all serviced by the bathroom with a bath and separate toilet.,Beautiful wood floors flow throughout, paired with a white colour scheme and modern comforts including air-conditioning. The kitchen offers a gas cooktop and dishwasher while outside, the avid entertainer will adore the covered deck.,A detached single garage and a storage shed are on offer, along with an expansive backyard. Here, you could choose to potentially subdivide the lot or maybe build a granny flat to accommodate extended family or to off-set your mortgage (STCA). The choice is all yours and, if you choose to develop, you can always rent out the existing home while discussing your plans with the council.,For families, this spacious property is conveniently located close to schools including Glen Waverley Primary School, St Leonards Primary School and The Cheshire School, and the Glen Waverley South Preschool is within walking distance. It is just a 5-minute drive to the Brandon Park Shopping Centre while a host of parks are within easy reach including the picturesque Callaghan Avenue Reserve and the Fraser Street Reserve with a playground.,Disclaimer: We have in preparing the content used our best endeavours to ensure that the information contained is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospect purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","Andy Yuan,04062173...,Kay Lim,04162604...",141879964,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aef5180ef81e78a9ebd7ee26fac87efe378fa4cd9614b5cd5bf04fad763d638b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aef5180ef81e78a9ebd7ee26fac87efe378fa4cd9614b5cd5bf04fad763d638b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/68c8d2889e7f75a9413c88038a23ecadac2a0377b7c577085ee3f34df538fced/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ef4e04520b1f9e4dd79ae2646bace451b0bdecae4725fbe2ec7e921357554306/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1186a5748e55d1e5b2d1b93bcbe002a51cfb1e363de26240cb468b34d1f30ef8/image.jpg"
"805/54 Montclair Avenue, Glen Waverley, Vic 3150",Contact Agent,2,2,137,1,"Introducing Kingsley, more than a fusion of Kingsway and Glen Waverley; it's a statement of refined living in the prestigious 3150 postcode. Nestled in the heart of one of Victoria’s premier shopping and dining precincts, Kingsley defines convenience and accessibility.,Step into a world of sophistication with Kingsley Penthouses, where panoramic views of Dandenong Mountain and an expansive open sky redefine luxury living. Revel in opulence with features such as glass-wall windows, dual-level high ceilings, and a liberating sense of space that transcends the ordinary.,On the lower level, seamlessly merging indoor and outdoor living, private terraces provide the perfect setting for open-air entertainment. The penthouses boast a German-built Miele kitchen equipped with top-of-the-line appliances, including a cooktop, rangehood, oven, microwave oven, and dishwasher, seamlessly marrying style with functionality.,Ascend to the upper level to discover two spacious bedrooms, each with its own bathroom and generous wardrobe space, accompanied by an additional study area. Kingsley ensures that every aspect of your living space exudes elegance and comfort.,Benefit from the prime location of Kingsley, with shops, schools, public transport, Monash Council, The Glen Shopping Centre, and more right at your doorstep. Enjoy the luxury of saving time and money on commuting, as everything you need is within walking distance.,*** Kingsley apartment topped out on September 26th, 2023.  The estimated completion date is March 2024. ***","Mayland Projects Team,04330085...",143981532,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6bbc9de8c560be70bd9da2b2b671705770b76c7bb5b0b9aa327e978563d44bcd/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c212ed768acb36612830f91406f83b22dc682475d43eca0dc11a7b356b6729b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c212ed768acb36612830f91406f83b22dc682475d43eca0dc11a7b356b6729b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e07feb61e2be0bbef7f8a70553fca5d039af43c3203c3d17a5705f731446158b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/069ad3fbdfedef89c4d51834088e8c05575eaaed02a1e08e1f564add6b9991b6/image.jpg"
"26  Falconer Street, Glen Waverley, Vic 3150",Contact agent,5,4,"1,224",4,"Indulging in every aspect of design, detail and destination, this custom created home achieves luxury beyond compare on a lavish 1224 sqm approx. allotment in the Glen Waverley Secondary Zone (STSA). This house is architecturally designed by the owner. ,Crafted with quality construction methods, the home's premium layout introduces itself with a stacked stone portico entry and welcoming foyer that's fitted with cabinetry for shoes and bags and complemented by the convenience of a powder room. ,The visually striking kitchen, living and dining zone relishes breathtaking views out to Scotchmans Creek and showcases sleek floorboards, a gas log fire, stone benches/splashbacks, 900mm Electrolux oven and gas stove, an island breakfast bench plus a 2nd kitchen with walk-in pantry. ,A delightful dining terrace accompanies this space, while the lower level is perfect for in-law's or as an entertainer's haven complete with a rumpus room, 5th bedroom, 4th-bathroom, laundry, cellar and paved entertaining zone that extends onto the terraced backyard with direct access to the creek. ,Arriving on the top floor, a study area provides access through to the four remaining bedrooms including two with private ensuites and the third with ensuite effect access to the main bathroom. ,Furthermore, the home has been constructed with structural concrete to all floors and walls, steel metal studwork to basement and ground floors, bulkhead and split system heating/air conditioning, 3 phase power, 22 solar panels, remote control sheer curtains to living room, double glazing, laundry chute, dual hot water system, storage shed, remote control driveway gates plus a double carport with louver roof. ,Conveniently situated close to Syndal South Primary, Glen Waverley Secondary, Wesley College, Huntingtower School, The Glen, Monash Aquatic Centre, Syndal Station and freeways.","Julie Wells,04088857...,Alice He,04344158...",144147504,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/78119f151ebbe9a59d93e51ea8f2ba4e7bd70d72aa12ce34d1442bd4ea7a8d2e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cc3fe6afdd288fdf8c800c7b4d02a162dc0a905c277537395fa0b3a0b6823ffc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cc3fe6afdd288fdf8c800c7b4d02a162dc0a905c277537395fa0b3a0b6823ffc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2d9e5a1d25517c1ecd8262fb3c449c3ed15e0f653e16156fc3b36d0115a36725/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5843ee2dace96c1ae8b9e6bdeb2f2929ee8f1ae6c5bd5167d3b5ac7ecd353432/image.jpg"
"1/48 Hampshire Road, Glen Waverley, Vic 3150","FOR SALE $1,500,000",5,3,252,2,"Uniting premium style with prized placement in the coveted Pinewood Primary and Brentwood Secondary Catchments (STSA), this brand-new townhouses offer a lifestyle of luxury for the discerning buyer. Staged across two stunning levels, the home's offer similar floorplans with the ground floor focused on open plan enjoyment with European Oak floorboards flowing throughout the living, dining and kitchen. A walk-in pantry ensures there's plenty of room to store all your kitchen needs, while the kitchen finishes reflect quality with waterfall stone benches accompanied by Euromaid appliances (oven, gas stove plus a dishwasher), soft close 2-pac cabinetry plus an island breakfast bench. The ground floor is complemented by a home office/5th bedroom, while benefit from a ground floor master bedroom with built-in-robes and ensuite, further served on this level by a powder room and laundry. Adding yet further space to relax, the upper level welcomes you with a retreat/living space that's accompanied by the three remaining bedrooms, all featuring robes and including a master bedroom with walk-in-robe and ensuite, supplemented by a family bathroom and separate toilet. Comforted year round by the benefits of heating/cooling, along with the appeal of a courtyard for outdoor entertaining, high ceilings, carpet to bedrooms, alarm, video intercom entry, LED downlights plus a double garage. Be quick to secure your place. Centrally situated near Pinewood Village, Brandon Park Shopping Centre, Pinewood Primary, Brentwood Secondary, Monash Uni, Monash Aquatic Centre, reserves, transport and Monash Freeway. ,Photo ID required at all open for inspections.","Alan Zhang,04022000...,Darryl Wickham,04105547...",141635764,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c652ea4a36049644aee78dd760a2451643fe61a73efe8495289efa36167c9d16/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c652ea4a36049644aee78dd760a2451643fe61a73efe8495289efa36167c9d16/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/43b8830e8b6be7e751deabefea324a50ccfb9d5dc0732affdb3b454a2d82635e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/130c65af5394ece532917a204e4283909db96f80a03e5dc8c19ec770b45999bf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/895b4f5ce61749beeea99708ee0dc81f501857f99a46796d6ddc79f4bb668cda/image.jpg"
"31B Chapman Boulevard, Glen Waverley, Vic 3150",Contact Agent,4,3,725,2,"An incredible off the plan opportunity exists here with this stunning architect -designed home which will be the first of its kind in Glen Waverley! This amazing residence, which will start construction in the beginning of 2024, will enjoy 4 bedrooms, 3.5 bathrooms, study, lift access, and 2 basement car spaces!,Sure to cut a striking image from the street with a façade that dazzles, this incredible home will enjoy an array of highlights including spacious central lounge and dining, sizeable upstairs family room, basement cinema room/gym, state of the art kitchen with all the modern trimmings plus a butler's pantry, WIRs and ensuites to 2 bedrooms, downstairs powder room, dedicated study, lift access to all levels, entertainer's deck, balcony off large master bedroom, and so much more! There is also plenty of stamp duty to be saved when you buy off the plan!,Zoned for Mount View Primary School and Brentwood Secondary College (STSA), you're located very close to Caulfield Grammar School, Jells Park, Dandenong Creek Trail, The Glen Shopping Centre, Wheelers Hill Shopping Centre, Glen Waverley Public Golf Course, buses, Monash Freeway and Eastlink.","Sergey Martynov,04139554...,Jing Chen,04762778...",142514856,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/45b192d96d451a52b0817cb6e057f58ab91d701ddf161d13da65c644ee9923e0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4e161709687c65fd35deea8b1855a1799cc2fbab9ec7a7038ff656da4d57a65/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4e161709687c65fd35deea8b1855a1799cc2fbab9ec7a7038ff656da4d57a65/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e43e80643341a046267bd46e05911bde58a77e8920b3802d0b720511741c106b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5e33f87f756ae1794c00f976fdc374c37d97793eb8ddea2f3d16401245e1bf50/image.jpg"
"2/99 Bogong Avenue, Glen Waverley, Vic 3150",AUCTION,3,2,312,2,"Seamlessly mixing its modern style with the ultimate in comfort and convenience, this spacious townhouse ensures entertaining is effortless whilst embracing dual living zones in the elite Glen Waverley Secondary Zone (STSA). ,Resting at the rear of only two, the home's expansive design delights upon entry with sleek floorboards guiding you into the sun kissed formal lounge room where you can chat with guests during the winter months. ,A magnificent kitchen, dining and family room provides the perfect setting for everyday enjoyment and encompasses waterfall stone benches and splashbacks, gas stove, Euromaid oven, Dishlex dishwasher plus a breakfast bench. ,Flanking this space are sliding doors that span out onto a low-maintenance courtyard on one side and a generous entertaining deck on the other side with discreet gated access to the rear walking trail. ,Enjoying ground floor placement, the master bedroom comes equipped with a walk-in-robe and ensuite, supplemented on this level by a separate guest toilet and laundry. A central staircase takes you upstairs, here to two remaining bedrooms both feature built-in-robes and floorboards and are served by a bathroom with toilet. ,Curated for easy living and complemented by the inclusions of ducted heating, keyless entry, LED downlights, high ceilings, under stair storage, garden shed plus a double garage with internal access. ,Walking distance to central Glen Waverley where you can access trains and The Glen Shopping Centre, near Syndal South Primary, Glen Waverley Secondary, Wesley College, Kingsway restaurants, Bogong Reserve, Monash Aquatic Centre and freeways. ","Anita Meng,04100008...,Nuria Jewell,04500008...",144519536,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/50b4d441695e6789876f0179aef3980774b20d2344c937eace24eeb9ebe523a0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/836b57f23945bdaafa480b42a95809c446b0414393e0b5689e1af67aa1fceff0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/836b57f23945bdaafa480b42a95809c446b0414393e0b5689e1af67aa1fceff0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d3ffc525e8a412867a946b2c32c3b396c44855b60ded3afe3004246b3c80fdb0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/47dd508c2da13a1ae27e9ec58abb939f5765f19d4660a073bca54cbeeecffb20/image.jpg"
"10 Kinnoull Grove, Glen Waverley, Vic 3150",Under Offer,5,2,650,2,"Whether you're in need of a spacious home for an extended family, looking to run a home-based business, or seeking a lucrative investment with dual income potential or rebuild your dream home with plans and permit (STCA) this distinctive property caters to a wide range of buyers. ,Comprising two homes on a single block, this well-maintained property is ideally situated in the heart of the Glen Waverley Secondary College zone.,The front home boasts an expansive lounge and dining area with a gas heater, a separate kitchen with a walk-in pantry and meals area, three robed bedrooms, a charming bathroom, separate toilet, a covered rear patio, and ample car accommodation with a carport and a long garage capable of holding up to three cars. ,The rear home, with a separate entry, features an equally impressive layout, including a lounge with a gas heater, an adjoining kitchen, two robed bedrooms, a bathroom, and off-street parking.,An ideal location within walking distance to key local amenities including Glen Waverley train and bus stations,  The Glen Shopping Centre, Village cinemas and the thriving Glen Waverley dining and shopping precinct,  City Walk, and Kingsway cafes and restaurants, Monash Aquatic and Recreation Centre, Bogong Reserve, Central Reserve,Glen Waverley Secondary College,  Glen Waverley Primary School and Wesley College.","Bonnie Shang,04338315...,Angus Liu,04139552...",143664980,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6cc47bfab061f0bcc9ca0b097c0a504f1f24690e36e5f71e39d3ecde51a33f33/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7e83fb4b7ef1f14be94aa39afca84b98d96ee5bbc337dffc8ffcb4f8fc9d6c53/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7e83fb4b7ef1f14be94aa39afca84b98d96ee5bbc337dffc8ffcb4f8fc9d6c53/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/153538fb65bb47c59861430620bfe78ffd45e9d6b20dfe64daa7c7909dcf5bc0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/443ba14ce469f980cc8a6b100567668457bd2aa8289238c1616c19f61f49540f/image.jpg"
"97 Springvale Road, Glen Waverley, Vic 3150",Contact Agent,6,3,691,2,"Discover the epitome of luxurious family living in this exceptional 6-bedroom, 3-bathroom residence in Glen Waverley. Boasting a privileged elevated position with convenient access via the service lane, the property is ideally located near The Glen Shopping Centre, scenic parklands, and esteemed schools.,Designed for ultimate versatility, the layout caters to the needs of large or extended families. The self-contained top level, accessible via an external entry, offers the potential for short or long-term rental. Whether you choose to revel in its current charm or embark on a modern renovation, the ground floor welcomes you with a grand leadlight windowed entry, a bright lounge, a spacious family/meals area featuring a kitchen with timber cabinetry and quality appliances, and a flexible formal dining room or additional bedroom/home office.,The lower level is enhanced by three bedrooms, including the master bedroom with ample built-in robes and an ensuite. A full bathroom and a second toilet add to the functionality of this floor. Ascend to the top level, where a light-filled living/dining zone provides easy access to the second kitchen equipped with stainless steel appliances. Two bedrooms with built-in robes and another bathroom complete this floor, leading to an impressive entertainer's terrace, deck, and a charming mulch garden.,Additional features of this property include reverse cycle heating and cooling, under stairs storage, and a convenient double garage. Situated near Kingsway restaurants and shops, with entry via the service lane, the home provides easy access to amenities such as Highvale Secondary College, Highvale Primary School, Highview Park, Glen Waverley North Reserve, Larpent Reserve, Vermont South Shopping Centre, Burwood One Shopping Centre, buses, and Eastlink.,Live the Glen Waverley lifestyle to the fullest with this remarkable and adaptable family home that seamlessly combines luxury and practicality.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","Leo Xu,04051278...,Jenny Zhang,04508091...",144263552,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/185ffd4196ee4c5d61c531f877bfd1d2e2de34890fc0a6a057c0e19ca0343f72/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/747efa557bd09bd37c8a20d2479513e1a0f16474aad04295e553087c8f1f44f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/747efa557bd09bd37c8a20d2479513e1a0f16474aad04295e553087c8f1f44f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/926c1c27ef50b89b22e95db4799486a0014d59ca489c56a78792cb4ac6b8711a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/48c3c7436b75a034bddffa080c0cfc2a9dbbe553748933f1affdb1d0b65ece66/image.jpg"
"853 High Street Road, Glen Waverley, Vic 3150",AUCTION,Indicative price: ,"$1,669,000 - $1,769,000",660,Loading travel time...,"Lock in your family's future or dream big and prepare plans for an exciting side-by-side development on this vacant parcel of land (STCA), that's set in the heart of Glen Waverley with zoning to the coveted Glen Waverley Secondary College (STSA). ,-660sqm approx. corner allotment ,-Service road frontage to High St Rd,-Zoned to the elite Glen Waverley Secondary College,-Walk to Glen Waverley Primary and Wesley College,-Meters from The Glen Shopping Centre ,-Steps from bus stops and a short stroll from Glen Waverley Station ,-Close to Larpent Reserve,-Potential for medical suites or residential development (STCA),A rare opportunity to make plans for this vacant site and make the most of the location that sees you situated only meters from the heart of Glen Waverley where you'll find The Glen Shopping Centre, restaurants and trains.  ","Nuria Jewell,04500008...,Anita Meng,04100008...",203833692,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ac3c6fe64209d796a5a36f77f2cc94ff6e0d7960de302eef57e152fe4db78c59/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ba8822d738bc7f8f232ccd8ce8158fa11350cefdca4e49b6ecd6afe582fcce9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ba8822d738bc7f8f232ccd8ce8158fa11350cefdca4e49b6ecd6afe582fcce9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8944675055ce825df69cd1d69d711ccaab0cc8cfb03b334a78bd055ce7ba2e49/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/29ef50a00c068c4496c764c98cbf46608de8d09e467be5ee6f1115677676e0a4/image.jpg"
"212/286-290 Blackburn Road, Glen Waverley, Vic 3150","FOR SALE $365,000-$390,000",1,1,252,1,"Lavished with space and loaded with lifestyle appeal, this 2nd floor apartment is a haven for first home buyers, couples and investors with its expansive indoor-outdoor design and desired placement only meters from Syndal Station. Immediately apparent from the moment you enter, the apartment's layout is larger than average and enjoys a glorious open plan living, dining and kitchen that's topped with stone benches and complemented by glass splashbacks and Blanco appliances including a stovetop, oven and dishwasher. Drawing in natural light whilst benefitting from a southerly orientation, the open plan domain extends out through floor-to-ceiling sliding doors onto a deep, full-width balcony where you can entertain with friends. Continuing to impress, the bedroom boasts mirrored built-in-robes and is serviced by a huge bathroom with toilet and full-sized laundry. Additionally complemented by a storage cupboard beside the entry door, split system heating/air conditioning, high ceilings, video intercom plus a basement parking space. Vibrantly set only meters from Blackburn Rd shops and restaurants, Fitness First, Syndal Station and buses, whilst close to The Glen Shopping Centre, Kingsway restaurants, Village Cinemas and the convenience of freeways.  ,Photo ID required at all open for inspections.","Alan Zhang,04022000...,Shaun Lim,04499803...",143380160,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e711567e88c2e6f7e8aba3ea22f25b18fa255f12c62a0a13167436b075d9ffe8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e711567e88c2e6f7e8aba3ea22f25b18fa255f12c62a0a13167436b075d9ffe8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/72b9dc5639747a9a07769e27251520a016b782490ba3bbfc202ee2ab78c76070/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/beb37fea133aed6b67f63fb2734a3e139c08ccb77a167d2fe711d465bc1b38d9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/177b150493bbe8ebfa9e73c606c4a9271cb5c39f756677584254c4376c00aa6f/image.jpg"
