address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures,url
"97 Springvale Road, Glen Waverley, Vic 3150","$1,400,000 - $1,500,000",6,3,691,2,"Discover the epitome of luxurious family living in this exceptional 6-bedroom, 3-bathroom residence in Glen Waverley. Boasting a privileged elevated position with convenient access via the service lane, the property is ideally located near The Glen Shopping Centre, scenic parklands, and esteemed schools.,Designed for ultimate versatility, the layout caters to the needs of large or extended families. The self-contained top level, accessible via an external entry, offers the potential for short or long-term rental. Whether you choose to revel in its current charm or embark on a modern renovation, the ground floor welcomes you with a grand leadlight windowed entry, a bright lounge, a spacious family/meals area featuring a kitchen with timber cabinetry and quality appliances, and a flexible formal dining room or additional bedroom/home office.,The lower level is enhanced by three bedrooms, including the master bedroom with ample built-in robes and an ensuite. A full bathroom and a second toilet add to the functionality of this floor. Ascend to the top level, where a light-filled living/dining zone provides easy access to the second kitchen equipped with stainless steel appliances. Two bedrooms with built-in robes and another bathroom complete this floor, leading to an impressive entertainer's terrace, deck, and a charming mulch garden.,Additional features of this property include reverse cycle heating and cooling, under stairs storage, and a convenient double garage. Situated near Kingsway restaurants and shops, with entry via the service lane, the home provides easy access to amenities such as Highvale Secondary College, Highvale Primary School, Highview Park, Glen Waverley North Reserve, Larpent Reserve, Vermont South Shopping Centre, Burwood One Shopping Centre, buses, and Eastlink.,Live the Glen Waverley lifestyle to the fullest with this remarkable and adaptable family home that seamlessly combines luxury and practicality.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","Leo Xu,04051278...,Jenny Zhang,04508091...","Property ID: ,144263552","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/185ffd4196ee4c5d61c531f877bfd1d2e2de34890fc0a6a057c0e19ca0343f72/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/747efa557bd09bd37c8a20d2479513e1a0f16474aad04295e553087c8f1f44f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/747efa557bd09bd37c8a20d2479513e1a0f16474aad04295e553087c8f1f44f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/926c1c27ef50b89b22e95db4799486a0014d59ca489c56a78792cb4ac6b8711a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/48c3c7436b75a034bddffa080c0cfc2a9dbbe553748933f1affdb1d0b65ece66/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144263552
"212/286-290 Blackburn Road, Glen Waverley, Vic 3150","FOR SALE $365,000-$390,000",3,2,252,2,"Lavished with space and loaded with lifestyle appeal, this 2nd floor apartment is a haven for first home buyers, couples and investors with its expansive indoor-outdoor design and desired placement only meters from Syndal Station. Immediately apparent from the moment you enter, the apartment's layout is larger than average and enjoys a glorious open plan living, dining and kitchen that's topped with stone benches and complemented by glass splashbacks and Blanco appliances including a stovetop, oven and dishwasher. Drawing in natural light whilst benefitting from a southerly orientation, the open plan domain extends out through floor-to-ceiling sliding doors onto a deep, full-width balcony where you can entertain with friends. Continuing to impress, the bedroom boasts mirrored built-in-robes and is serviced by a huge bathroom with toilet and full-sized laundry. Additionally complemented by a storage cupboard beside the entry door, split system heating/air conditioning, high ceilings, video intercom plus a basement parking space. Vibrantly set only meters from Blackburn Rd shops and restaurants, Fitness First, Syndal Station and buses, whilst close to The Glen Shopping Centre, Kingsway restaurants, Village Cinemas and the convenience of freeways.  ,Photo ID required at all open for inspections.","Alan Zhang,04022000...,Shaun Lim,04499803...","Property ID: ,143380160","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e711567e88c2e6f7e8aba3ea22f25b18fa255f12c62a0a13167436b075d9ffe8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e711567e88c2e6f7e8aba3ea22f25b18fa255f12c62a0a13167436b075d9ffe8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/72b9dc5639747a9a07769e27251520a016b782490ba3bbfc202ee2ab78c76070/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/beb37fea133aed6b67f63fb2734a3e139c08ccb77a167d2fe711d465bc1b38d9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/177b150493bbe8ebfa9e73c606c4a9271cb5c39f756677584254c4376c00aa6f/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-143380160
"7 The Outlook, Glen Waverley, Vic 3150","$2,500,000 - $2,600,000",5,2,707,2,"On a generous corner block measuring 707 sqm (approx.), and flaunting strong elements of postmodern design with large living areas, this 5 bedroom, 2 bathroom home offers a range of living options sure to catch the eye of a wide range of admirers.,This home consists of 4 large bedrooms including 3 of those with built-in robes, while a 5th bedroom in the rear wing is an ideal master bed with WIR, ensuite, and verandah overlooking an internal courtyard. Alternatively, this wing is well-suited for independent living with a fully equipped 2nd kitchen with quality appliances.,An inviting lounge and family room share a central open fireplace complete with stone counter, while the galley-style kitchen boasts a stainless steel Iive gas cooktop, oven & grill, dishwasher, and endless amounts of practical storage. Enjoy sun-filled days in the expansive dining area with its large cedar doors and windows offering views to a private courtyard, while a smaller meals areas caters for the daily routine.,Further home attributes include a central bathroom with stone-top vanity, shower, and a deep bath, a sunken study with exposed beams and rough-cut brick feature wall, courtyard entries front and rear with established gardens, double garage with remote and dedicated workshop, storage shed, separate laundry, ducted heating, and reverse cycle cooling.,Zoned for Glen Waverley Secondary College and Mount View Primary School, and in walking distance to Glen Waverley Station and The Glen Shopping Centre.","Ryan Yan,04141452...,04811647...","Property ID: ,143382364","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/370f2b5b261ef78c96b4b021bdf3f81efd957dd803c7a4722049cfacbc8d863b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51910ae8a38eb463f298f40d3d3341ce80e642f0e9c2b7561ddfa3783276d0cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51910ae8a38eb463f298f40d3d3341ce80e642f0e9c2b7561ddfa3783276d0cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9b34b772ec385b5e4fc105f02516f6b943f64d3ba8b0b113f34eda191261c1f3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f875964c01310424af62c471f81f080841d308e9f11c9a6b595133d5b1c89eef/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143382364
"32 Saladin Avenue, Glen Waverley, Vic 3150","$1,500,000 - $1,550,000",4,2,723,4,"A vibrant celebration of luxurious family living in a prized leafy setting, this sumptuous contemporary retreat presents a unique light-filled layout across a single sprawling level, spilling to glorious sunlit surrounds.,Nestled on an expansive 719sqm block with soothing green outlooks and calming rear views, the home's modern brick facade is framed by towering palm trees and a secure gated frontage, opening to reveal crisp white walls and sophisticated timber floors.,Awash with natural light, the stylish interiors showcase an open living/meal zone that merges with a serene elevated alfresco, while the spectacular enclosed entertainers' area boasts a cosy fireplace, full-height windows and a striking industrial design with a state-of-the-art concrete/timber kitchen.,The main kitchen is placed nearby with waterfall stone benchtops, an LG dishwasher, five-burner gas cooktop and electric oven, providing easy access to the private manicured backyard and peaceful pergola.,Completing this whisper-quiet family haven, the primary bedroom is the tranquil hideaway busy parents crave with its exclusive ensuite and expansive walk-in robe.,The three remaining bedrooms are generous in size and supremely comfortable, sharing access to the gleaming powder room and updated family bathroom with its full-size bath.,Ducted heating, evaporative cooling and split-system air conditioning ensure optimal enjoyment all year round, while additional finishing touches comprise an alarm system for peace of mind, a secure carport behind automatic gates and ample underhouse storage.,Life in this premium pocket of Glen Waverley is all about convenience, placing its new family within a stroll of Pinewood Primary School and bustling Pinewood Shopping Centre, while close to Brentwood Secondary College.,It's also moments from prestigious private schools and The Glen, while nearby train stations and the Monash Freeway ensure seamless city commuting.,With nothing left to do but unpack and relax, this expansive family home awaits its next chapter.,Property specifications:,Four bedrooms, open plan living/dining zone, two modern kitchens,Versatile enclosed entertainers' area, covered alfresco and pergola,Family bathroom, ensuite and powder room, walk-in/built-in robes,Manicured gardens, gated frontage, carport and additional parking,Walk to shops, parks and schools, close to transport and freeway","Neo Chen,04338547...,Ivy Liu,04331637...","Property ID: ,144544452","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/df0e89293d3658e11aff90ef2d0a16f5a87df24dd55a722004d3419b1fdb81b9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/07ec2f4fa61e856178d2445e8e20818df3f59787750b457ef579e83ba518f48b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/07ec2f4fa61e856178d2445e8e20818df3f59787750b457ef579e83ba518f48b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/198349aef076dc9dcfd27d0e5501fcc847b66669a9186206b6ec971daa07399f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f819f1e0decd5e072448b94e4ac2733cffb64f6f655a0861dfe88d17eb801064/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144544452
"1105 52-54 O'sullivan Road, Glen Waverley, Vic 3150","$660,000 to $680,000",2,2,,,"Ideally positioned within the prestigious Glen Waverley Secondary College catchment area (subject to school zone availability), this stylish apartment offers unparalleled convenience. Walking distance to The Glen Shopping Centre, various eateries along Kingsway, Village cinema, and Glen Waverley Train Station.,This stylish apartment embodies modern living with utmost convenience, offering seamless access to education, shopping, and transportation, thereby presenting an unparalleled lifestyle opportunity.,Features:,- An open-plan living/dining area provides a spacious and inviting ambiance.,- 2 bedrooms and 2 bathrooms. Master with ensuite and main bathroom with rainfall effect shower, floor-to-ceiling tiles and toilet. ,- Modern kitchen with stone benches, Ilve stove, Ilve oven, Fisher & Paykel dishwasher, and ample cupboard space.,- Heating and cooling systems for year-round comfort.,- Balcony with views. ,- 1 car space in the secure underground parking and a storage cage.,Experience the epitome of contemporary living in this modern apartment.,Call Conan to arrange a private inspection at 0433 900 003.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist.","Conan Ong,04339000...,Dr Fonny Sujanto,04348180...","Property ID: ,144263356","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/456adca3c122b6e6342bf7202bcfb627fbcf68e3cb5ea34f6138c815ff2841b4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/456adca3c122b6e6342bf7202bcfb627fbcf68e3cb5ea34f6138c815ff2841b4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3df825f082435d87fb94f9e2160a4889bd20d4973f50c2cf9827fa2b8ce19d53/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1c2656ddc3158967d2a3d8e6c5ae15cb31a9eef0669540a9285513cf792d4618/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ee94c2e59422c4aeff3e11311ceb3e84ad940199ec9d2b963c59e8b09907a23b/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144263356
"14 Kawana Crescent, Glen Waverley, Vic 3150","$1,580,000 - $1,680,000",4,2,704,2,"Commanding an incredible indoor-outdoor ambience with a brilliant visual connection between the formal and family zones and alfresco entertaining, this spacious home is a real delight in the Mount View Primary and Brentwood Secondary Zones (STSA).,Occupying a 703sqm approx. allotment, the home’s dimensions easily cater for the growing family with four robed bedrooms accompanied by a study area and complemented by an ensuite and family bathroom.,Property Highlights:,•	Four robed bedrooms, including a master bedroom with built-in-robes and ensuite,•	Central family bathroom and 2-way toilet,•	Study room conveniently set just beside the front door,•	Sunken formal lounge room boasting a bank of windows and open fireplace,•	Designated formal dining area with access to alfresco zone,•	Open plan meals and family room,•	Neatly presented kitchen adorned with Westinghouse wall oven, Westinghouse stove, Omega dishwasher, double sinks plus a breakfast bench,•	Generous alfresco entertaining zone,•	Family-sized laundry,•	Comforted by ducted heating and split system air conditioning,•	Additionally complemented by a double garage and paved driveway,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary College,•	Moments from Caulfield Grammar and Jells Park,•	Close to The Glen Shopping Centre, buses and Glen Waverley Station,•	Central to EastLink and Monash Freeway","Chris Feng,03956039...","Property ID: ,144270336","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/351f54355f5f8a1331bc7fea3eb432c0fca7aa93d34902388c30700aaa7b504a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/91573021176918d425b9a41bdb54b1be619c2ef73cc2e88cda51c5c950b760eb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/91573021176918d425b9a41bdb54b1be619c2ef73cc2e88cda51c5c950b760eb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0d3e722ebc49d030f09fde2115eb3beb405513319d61b6d3fa2230f10f916e14/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4f86a2beb1106dbe584f0fe7a6dae01fc81f006e70e5be72b6fd7cc005662313/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144270336
"46 Madeline Street, Glen Waverley, Vic 3150","$2,280,000 - $2,350,000",4,2,726,2,"This elevated, large family home on a generous 726m2 corner block is a rare find!,In the coveted Glen Waverley Secondary College zone, only a short walk away, this North Facing home positioned on the high side of the street is only footsteps from everything you could need.,Come see to appreciate its generous proportions catering to the whole family and just perfect for renovation, or start again with a magnificent new home or multi-unit development (STCA).,This property includes 4 generous sized bedrooms, 2 bathrooms including master with complete walk-in robe and ensuite. Multiple living areas and huge wraparound balcony with stunning mountain views complete with a large 20m approx. street frontage and elevated corner block.,Offering a quiet location complete with views of the Dandenong mountains, buy with confidence knowing you are so close to The Glen shopping centre just a short 2 minutes stroll away including Kingsway dining precinct, top schools including Wesley College, train station, Monash Freeway and a lot more. Don't miss out!","Kathleen Kuang,04395527...,Sam Rossello,04117590...","Property ID: ,143241612","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/24d04faad483800b4ffcbf4a866b7b00bc1195d036603cad63801468e6fa1f68/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/35a3e1d1631b41cf76d430468852499625a573bd0f082d28bb13848e5b83e7c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/35a3e1d1631b41cf76d430468852499625a573bd0f082d28bb13848e5b83e7c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/278f57421d0036770064a783f5e50103f7ba7d93d5d8929692da986db98665bf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b4454d6ef24314fe5e4c69e34cae0224309bc72c89d29ca24f1b3f06ffe1ab35/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143241612
"857 Waverley Road, Glen Waverley, Vic 3150","$1,400,000 - $1,500,000",3,2,704,2,"Deceptively spacious and centered around open plan enjoyment, this single level home spans an impressive 659sqm approx. allotment and offers comfort for the family in the Mount View Primary and Brentwood Secondary Zones.,Only moments from local shops and Jells Park, the home’s design delivers flexibility with the formal lounge room providing space to create a 4th bedroom, while the kitchen, dining and family room offers plenty of space to relax.,Property Highlights:,•	Three oversized bedrooms, all with robes including the master bedroom that boasts a walk-in-robe and ensuite,•	Neatly presented family bathroom with separate toilet,•	Massive bedroom-sized laundry with storage and workbench,•	Generous formal lounge room/potential 4th bedroom,•	Kitchen complemented by a privacy ledge and featuring a gas stove, Bosch oven and Asko dishwasher,•	Open plan dining and family room embracing polished floorboards plus a combustion fireplace,•	Alfresco zone capturing afternoon sunshine and spanning out to the backyard,•	Enriched with ducted heating and split system air conditioning for comfort,•	Further benefitting from an alarm, storage shed and double garage,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary,•	Meters from local shops, buses and Jells Park,•	Close to Caulfield Grammar, The Glen Shopping Centre and Glen Waverley Station,•	Convenient access to EastLink and the Monash Freeway","Jessica Chea,03956039...","Property ID: ,144269496","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4af585ad333cc1aab0e6039b92cf27f13e73252119df17127b477c65d8555ead/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aaab8f7825c98b546d1092ba979f7c03bcbaeed9e6000ac9a4a9098817b7999/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aaab8f7825c98b546d1092ba979f7c03bcbaeed9e6000ac9a4a9098817b7999/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/076d4ab86f4876ce39c10d8f7173488f6b937149c75feb3b061fb84735683945/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/180b0c4e724fcc4565bc41f545be4338b084ca390e0a804cc73c20464eb763cf/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144269496
"10 Kinnoull Grove, Glen Waverley, Vic 3150","$2,050,000 - $2,250,000",5,2,650,2,"Whether you're in need of a spacious home for an extended family, looking to run a home-based business, or seeking a lucrative investment with dual income potential or rebuild your dream home with plans and permit (STCA) this distinctive property caters to a wide range of buyers. ,Comprising two homes on a single block, this well-maintained property is ideally situated in the heart of the Glen Waverley Secondary College zone.,The front home boasts an expansive lounge and dining area with a gas heater, a separate kitchen with a walk-in pantry and meals area, three robed bedrooms, a charming bathroom, separate toilet, a covered rear patio, and ample car accommodation with a carport and a long garage capable of holding up to three cars. ,The rear home, with a separate entry, features an equally impressive layout, including a lounge with a gas heater, an adjoining kitchen, two robed bedrooms, a bathroom, and off-street parking.,An ideal location within walking distance to key local amenities including Glen Waverley train and bus stations,  The Glen Shopping Centre, Village cinemas and the thriving Glen Waverley dining and shopping precinct,  City Walk, and Kingsway cafes and restaurants, Monash Aquatic and Recreation Centre, Bogong Reserve, Central Reserve,Glen Waverley Secondary College,  Glen Waverley Primary School and Wesley College.","Bonnie Shang,04338315...,Angus Liu,04139552...","Property ID: ,143664980","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6cc47bfab061f0bcc9ca0b097c0a504f1f24690e36e5f71e39d3ecde51a33f33/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7e83fb4b7ef1f14be94aa39afca84b98d96ee5bbc337dffc8ffcb4f8fc9d6c53/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7e83fb4b7ef1f14be94aa39afca84b98d96ee5bbc337dffc8ffcb4f8fc9d6c53/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/153538fb65bb47c59861430620bfe78ffd45e9d6b20dfe64daa7c7909dcf5bc0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/443ba14ce469f980cc8a6b100567668457bd2aa8289238c1616c19f61f49540f/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143664980
"2/4 Durward Avenue, Glen Waverley, Vic 3150","FOR SALE $1,080,000",3,2,252,2,"A gleaming showcase of style and space, this single level unit sits privately at the rear and provides the perfect family start, downsize or investment in the Pinewood Primary and Glen Waverley Secondary Catchments (STSA). Light-filled and alluring, the open plan living, dining and kitchen is generously sized and incorporates the benefits of a Whirlpool oven, Whirlpool gas stove, Technika dishwasher plus a breakfast bench. Sliding doors provide a welcome introduction to the courtyard, here you find a covered deck for entertaining alongside a lengthy, synthetic turf yard where children can play. Down the hallway, the three bedrooms are all robed and include a master bedroom with walk-in-robe and ensuite, further complemented by a family bathroom, powder room and full-sized laundry. Furthermore, the home boasts ducted heating, evaporative cooling, alarm, high ceilings plus a single garage with internal access and rear roller door. Conveniently set, close to Pinewood Primary, Glen Waverley Secondary, Holmesglen Institute, Monash Aquatic and Recreation Centre, Central Reserve, Pinewood Village, The Glen Shopping Centre, buses, Glen Waverley Station plus EastLink and Monash Freeway. ,Photo ID required at all open for inspections.","Darryl Wickham,04105547...,Alan Zhang,04022000...","Property ID: ,144272028","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/017d38a67f8b1247f33ceac2d27a7b1281b6f04d337e10e8da78131ffbb3b9ed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/017d38a67f8b1247f33ceac2d27a7b1281b6f04d337e10e8da78131ffbb3b9ed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b58aa0aedfdf75b24133489658be5627fd28b30b8562502f8c8f478402fadcd/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ab4e88dd0b254aac09c2fd586a63031795f5a2e0705cc9c3aa29b757475e5a1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2d02ae80130e6b77aa8f57bc1a8f36919f256736017fed7237c47e0c98d6143b/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144272028
