Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1,Agent2,PropertyId,Pictures,Url
"109 Springvale Road, Glen Waverley, Vic 3150","$900,000 to $990,000",3 bedrooms,1 bathroom,450 m² land size,2 parking spaces,"Offering an elevated position on a generous corner lot; this desirable single-storey home that boast three bedrooms with built-in robes is the epitome of family-friendly living. Set on approx. 450sqm and located so close to elite schools as well as the iconic The Glen Shopping Centre, this desirable residence ensures convenience and offers great privacy from the street. ,Step inside to discover Tasmanian Oak floorboards that span the light-filled northern eastern-facing lounge, living, meals, and kitchen areas; that is separated by elegant French doors that exude a sense of space and versatility - ideal for both everyday living and entertaining whilst providing warmth and inviting ambiance for relaxation and gatherings. ,The kitchen, adorned with exquisite Caesarstone and 2Pac cabinetry finish, offers ample bench space and is equipped with Asko and Blanco 900mm oven/gas stainless steel appliances, making meal preparation a delight. Overlooking a private backyard adorned with vibrant flora, this culinary haven is a place where every cooking session transforms into a joyous culinary adventure.,You could also venture outdoors to your own low-maintenance landscaped backyard from the two bedrooms whilst enjoying outdoor living all year round. Also, make the most of a pristine family bathroom with a separate toilet, Daikin A/C unit in the lounge room and two bedrooms, laundry, great drying courtyard area off laundry, security door, rainwater tank, double carport with side gate access to the courtyard and a large shed for storage. ,Zoned for Highvale Secondary College and Highvale Primary School (STSA), you're also located so close to Highview Park, Larpent Reserve, Glen Waverley North Reserve, Wesley College, Vermont South Shopping Centre, Burwood One, Kingsway shops, buses, Glen Waverley Station, and Eastlink.","[('Katherine Yu', '04033016...')]",,144299468,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c573c35d4007fba7b75bc62c21322c2a56bcca0087b1b2be7bc4b429130d59aa/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c573c35d4007fba7b75bc62c21322c2a56bcca0087b1b2be7bc4b429130d59aa/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dadafe17178fdd5af5255c2a63fe88ca50fb252c9795cf76162547745169b7a3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7f6ded9158fa8f8f6e3bdd55c1a30425a14930945272785829a347f503565a97/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/06bb32664e9fc4b55d7af7e3563ce0e46043973d1ad585e2db59988b136a00a2/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144299468
"16 Coolabah Avenue, Glen Waverley, Vic 3150",,3 bedrooms,2 bathrooms,658 m² land size,2 parking spaces,"This much-loved home is in pristine condition and is immaculately presented.  Warm and inviting, this home is perfectly situated on a 658m2 block.  This allows an abundance of natural light through large picture windows into every room.  This property has been recently refurbished.  It has been freshly painted inside and out, has new plush pile carpets and new LED light fittings, all complemented by a complete roof restoration.  This well-appointed home has three bedrooms and another large multi-purpose room which could be your study, work from home space, third living area or a nursery.  The large private master bedroom has an ensuite and built-in mirrored wardrobes.,This home is an entertainer's delight, with a central custom-designed kitchen, fully appointed with Miele appliances and also features a combination microwave/second oven, and Corian benchtops.  Welcome your family and friends into the large formal lounge/dining area or the large family/meals area, both adjoining the kitchen.  Enjoy time on the expansive timber deck or under the shade of a mature Golden Elm tree which stands proud amongst a landscaped garden.  Relax in your large indoor Hot Spring Spa after work or unwind in front of your gas log fireplace.,This property is close to many sought after schools such as Glen Waverley South Primary, Brentwood Secondary College, Wesley College and Caulfield Grammar.  An easy walk takes you to Brandon Park Shopping Centre, while The Glen shopping centre, Glen Waverley station and Monash Aquatic and Recreation Centre are all nearby.,Simply move in and enjoy!,Expression of interest closing 16 April 2024 @ 4.00pm,Disclaimer:  Every precaution has been taken to establish the accuracy of the above information but it does not constitute any representation by the vendor/agent and agency.","[('Adrian Santini', '04011996...')]",,144564720,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dda98b5162cdb62d3caf1263a2387b3b8ab67f6e85250ca9b2ef4110c58ea930/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dda98b5162cdb62d3caf1263a2387b3b8ab67f6e85250ca9b2ef4110c58ea930/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c7220d58d74392fdeb0f4640de674d65af61dbc2f5e6055e26a37db2cba2ad80/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f34467846a8500ba92d537ed191a0673cd03742c2034f67a65dbea41d407d9e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/be6c14e4c80554807c6e513139140743ff27a7314d4d3ac415e8f58512d7ab59/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144564720
"91/42-60 Capital Avenue, Glen Waverley, Vic 3150","$530,000",,1 bathroom,,,"Delight in this beautifully presented one-bedroom unit, boasting a modern refresh with new paint and floor coverings. The open-plan layout with a separate dining area opens to a charming private garden, perfect for relaxation.,Some of the key features of this unit include;,• Freshly updated interior,• Open-plan living with distinct dining area,• Private garden for tranquil outdoor living,• Lovely wooden deck for entertaining,• Kitchen with ample storage and bench space,• Convenient separate internal laundry,• Well-appointed bathroom with walk-in shower,• Split system heating/cooling for year-round comfort,• Ideal for low-maintenance lifestyle seekers,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle.,This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle.,Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Pet-friendly village,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers, barbers, and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Don’t miss this opportunity to make this home your own. Enquire today and book a tour.,*Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units such as furniture and other decorative items.","[('Patrick Kelly', '1800 550...')]",,142149768,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg",https://www.realestate.com.au/property-retirement+living-vic-glen+waverley-142149768
"Cove Floorplan/42-60 Capital Avenue, Glen Waverley, Vic 3150","$90,000 - $120,000*",,1 bathroom,,,"Feel at home in this welcoming and peaceful serviced apartment apartment floorplan with everything you need for a comfortable and stress-free living. Don’t miss this opportunity to live in one of our Cove apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• a kitchenette,• a living/bedroom space with built-in closets, and a private bathroom,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,--Next Steps--,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. *Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.","[('Courtney Di Gregorio', '18005505...')]",,143854160,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg",https://www.realestate.com.au/property-serviced+apartment-vic-glen+waverley-143854160
"336 Blackburn Road, Glen Waverley, Vic 3150","$1,700,000 - $1,870,000",4 bedrooms,3 bathrooms,,2 parking spaces,"**FOR MORE INFORMATION PLEASE CONTACT KERRY HUANG: **0450 989 955**,A unique opportunity awaits with this stunning double-story property, due for completion in April 2024, this brand new two townhouse development that have been thoughtfully crafted by THE SPLENDOR HOMES, perfectly positioned within a three-minute stroll to Syndal South Primary School , 6 minutes' walk to Syndal, 5 minute drive to The Glen Shopping Centre and a bus stand at the door step. Falling within the catchment of Glen Waverley Secondary College. Enjoy vibrant nightlife of Kingsway within walking distance.,Townhouse 1 enjoys a low-maintenance 26.8sq (approx.) four-bedroom, three-bathroom layout , two master bedrooms with ensuite (one zoned downstairs) with a spacious retreat area upstairs, double garage with internal access and a large open-plan living domain extending onto a north-facing alfresco outdoor area. Living with Hardwood timber flooring and a fireplace adding luxury and comfort to your living.,Townhouse 2 enjoys 26sq (approx), two family areas, with a ground floor guest bedroom featuring a walk-in robe and private ensuite, and three upper-floor bedrooms branching off from a spacious retreat, this offers versatile living. ,The facade of both townhouses showcase white painted render, brick veneer, and a grand timber double door entryway. ,The open-plan layout is illuminated by modern chandeliers and LED downlighting, Significant size of townhouse amplifying the sense of space. Natural light pours in, emphasising the luxury appointments.,The kitchen vaunts opulent style, with a four-seater breakfast island, stone benchtops and high end black Miele appliances.,Luxurious living extends to the bathrooms, all boasting full-height wall tiles, stone-top vanities, expensive and stylish tapware and fully-frameless showers. This is your chance to embrace sophistication and the opportunity to invest in the heart of Glen Waverley.,Disclaimer: We have, in preparing this document, used our best endeavours to ensure that the information contained in this document is true and accurate, but we accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence checklist provided by Consumer Affairs. Click on the link for a copy of the due diligence checklist from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist,Please note: inspection time may change or cancel without notice, please check the website before attending the inspection","[('Kerry Huang', '04509899...')]",,143044988,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bc795bb9228c3a3ee935d1ca4ee24e4a28b61750ff4bd457caa8f3bcc7b1cb6f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bc795bb9228c3a3ee935d1ca4ee24e4a28b61750ff4bd457caa8f3bcc7b1cb6f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/af326c2ed36e1779e056fc711f99fced1b855241c49cfbf0372897ee898ff093/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0713e03adf8cb701985b6f13e062750e516f155587771f9d3de60f29ed2758d4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7b38123d1014d2f3617dc5d60852d3ec123f947d5f3019ad67a847170fdd3131/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143044988
"42-60 Capital Avenue, Glen Waverley, Vic 3150",,,1 bathroom,,,,,,,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/89b21592ba688b01e226defe3f3ff38209c1fb83d7a3f7e2c6fd23d6dc88d4a9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c83dc651381413164e962c1f25a8e69b2043e8ecb946ed89dde9afee1a8ac47b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e98d1d11f46603b7001a2fe2b1d3ae3a0b4baaec7326c0fdebd8116fdd7b77ae/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2400251c827293560fb644e3fb3475f82e40e5d16296999cd05004b7fcc3f095/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e362dff4911bb3375aed9db8e1dcd8c597288ccd6e8c6927e30c92d662cd34a/image.jpg",https://www.realestate.com.au/project/highvale-glen-waverley-600037524
"9 Settler Court, Glen Waverley, Vic 3150","$1,750,000 - $1,925,000",4 bedrooms,2 bathrooms,475 m² land size,2 parking spaces,"Set in a spacious prestige private court just behind the Monash Aquatic Centre and Glen Waverley Tennis Club is this lovely home nestled in tranquil gardens. On entering you are greeted by the separate lounge on your left, with a dining room or convert to study 5th bedroom to your right, leading through to the open plan kitchen meals family area with its big windows taking in the gorgeous tranquil gardens and sun light. There has been new bathrooms and kitchen installed with caesarstone benchtops, induction hotplates and double oven, giving that modern feel. Upstairs there is an open family games area, full bathroom, a massive master bedroom with sitting area for quiet contemplation or reading your favourite book, along with three more good size bedrooms. You have the comfort of gas ducted heating, evaporative cooling upstairs, and remote door on the double garage. A lovely location for walks or bike rides along Scotchmans Creek Trail and Callaghan Reserve, or for the sports enthusiast the Central Reserve Sporting Grounds, tennis clubs and aquatic centre.","[('Darren Hill', '04187877...')]",,144292012,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fe2e60368012fc72cef48b6498928400bfd0764148368876cb64ad76d932a3c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c5a897840d77dd976c805ee782bdd83d9fd6872ca09a14bfc672ea24e9137663/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bd1c75d2c5658bcb14ccda2d2e43056a9271715379f68388c66c4fdfb8ea836f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/632d980204efc80e9fae368af78d7d91d02cbd1d6d6c08ce0435e03e6c631d47/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9a5386596d22f85748af2f3bed59519be7f13936ded3e8098a4980ca9da6b451/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144292012
"Grande Floorplan/42- Capital Avenue, Glen Waverley, Vic 3150","$335,000 - $360,000*",,1 bathroom,,,"Welcome to a new way to have a placid and serene lifestyle in the compact and comfortable Grande floorplan. Don’t miss this opportunity to live in one of our Grande apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• open plan style kitchenette and living area,• generous bedroom with a built-in or walk-in robe,• private and modern bathrooms,• some apartments also have a European style laundry for your convenience,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Next Steps,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.","[('Courtney Di Gregorio', '18005505...')]",,143034020,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg",https://www.realestate.com.au/property-serviced+apartment-vic-glen+waverley-143034020
"4/574-576 Highbury Road, Glen Waverley, Vic 3150","$800,000 - $880,000",3 bedrooms,1 bathroom,,3 parking spaces,"Delivering defined spaces for living and dining, this delightful single level unit provides the perfect entry level opportunity for first homebuyers and investors with placement in the coveted Burwood East Primary Zone.,Nestled in a boutique group of four, the unit’s layout is easy to enjoy with stone benches highlighting the kitchen, while the private courtyard is generously sized and encourages entertaining in a low-maintenance outdoor environment.,Property Highlights:,•	Three bedrooms all featuring large windows and carpet underfoot.,•	Family bathroom accompanied by a separate toilet.,•	Generously sized lounge room that’s naturally bright yet private thanks to outdoor hedging.,•	Delightful meals zone beside the kitchen boasting stone benches, gloss white cabinetry and stainless steel appliances.,•	Good-sized courtyard that’s low-maintenance and perfect for entertaining.,•	Further complemented by a full-sized laundry.,•	Climate control includes ducted heating and split system air conditioning.,•	Incorporating the additional benefits of solar electricity panels, high ceilings, remote control garage plus a driveway parking space.,Local Attractions:,•	Step out the front and enjoy the convenience of a 736 bus stop right on your doorstep.,•	Walking distance to Burwood East Primary and close to Forest Hill College, Wesley College and Emmaus College.,•	Central to Burwood One Shopping Centre and The Glen.,•	Moments from trams that run along Burwood Hwy past PLC and Deakin Uni before arriving at the CBD.","[('Chris Feng', '03956039...')]",,144687764,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c27f13ec4dacb2c85977ea14558decee37cdbd055b8f128644cdaabb4fb65e93/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/34f9633024c7461d8b289bcf48fb086c9d310aad969549eec2358716c0cd49b2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/34f9633024c7461d8b289bcf48fb086c9d310aad969549eec2358716c0cd49b2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a4da1e6e3acfa6b85a36a57b3e3d4e2824281e03ae39ed4265cbcc8210081ea4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/960632332bd715492eb33bfc8b870b196268d3cfaccc1c2cf3d9100753db5226/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144687764
"8-10 Railway Parade North, Glen Waverley, Vic 3150","Private sale: $6,000,000-$6,600,000",6 bedrooms,2 bathrooms,"1,769 m² land size",3 parking spaces,"Seize the opportunity to secure this once in a lifetime offering of two side-by-side allotments encompassing a total landholding of 1769 sqm approx. in the thriving heart of Glen Waverley within the prized Residential Growth Zone (STCA). ,Currently tenanted, the existing homes provide developers with a potential income stream whilst they prepare plans and permits with the residences encompassing:,Number 8: A three-bedroom home boasting a family bathroom, separate toilet, laundry, lounge with adjacent dining room, open plan kitchen and meals zone, sunroom and double garage with workshop. ,Number 10: A classic three-bedroom home with modernized bathroom, traditional kitchen, L-shaped lounge and dining plus a double garage.,Complementing this prime landholding is its premier location right in the heart of Glen Waverley with zoning to Glen Waverley Secondary College (STSA) and easy walking access to Glen Waverley Primary, Wesley College, The Glen for all your shopping and dining needs, Kingsway restaurant precinct, Village Cinemas and Glen Waverley Station for travels to a from the CBD. ","[('Jenny Gao', '04670922...')]",,143691400,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a5f240affb167b7378ea021ab1449b3bb09a225b9427fd86616443c5ceed1a82/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a5f240affb167b7378ea021ab1449b3bb09a225b9427fd86616443c5ceed1a82/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8864d537592ea279d528ad4411f3861d6afce3a2ac7a12cda1ade023d3ee8ba6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f4786912d55b00cfe82de5f1910260b30829597533550b3681fcec62c2d183c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e9b96f1a8c6caee09889590bf666acce6a38392dfb25bff748806f4f7feec403/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143691400
