Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1Name,Agent1Number,Agent2Name,Agent2Number,PropertyId,Pictures,Url
"118 Capital Avenue, Glen Waverley, Vic 3150","$2,000,000 - $2,200,000",5,3,641m²,2,"Discover the epitome of modern living in this stunning 5-bedroom residence, featuring dual living areas and a master suite on both levels. With 3 bathrooms, including a powder room, this home ensures comfort and convenience for the whole family.,The spacious kitchen comes complete with a butler's pantry, perfect for culinary enthusiasts. Enjoy the flexibility of multiple living areas, ideal for entertaining guests or relaxing with loved ones.,Situated on a corner block, this home offers North facing L-shaped yard areas with plenty of space for entertaining. The covered alfresco area provides a perfect setting for outdoor gatherings and relaxation.,Built in late 2019, this property offers modern comforts such as zoned heating and cooling. With flexible settlement options available, this is an opportunity not to be missed.,Located near prestigious schools like Highvale Primary/Secondary College and Camelot Rise Primary School, this home is perfect for families. Glen Waverley Shopping Centre is less than 2km away, providing easy access to trains, busses, dining, shopping, and entertainment options.,Photo ID required at all open for inspections.",Nicholas Richards,04016100...,Selena Sun,04356236...,144700304,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/581718d77e0a450c96798c993dde82442fa0908bc55d13c3263a8ebaeb29bfd5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/089a29460ed433986356f8998626200143d0e231cbde7135363ff3c7a323b7f0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/089a29460ed433986356f8998626200143d0e231cbde7135363ff3c7a323b7f0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/feaf939f213334ff22fc7708b961b778ce363ae55a6ad74d954e2ea85a0f1d71/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e60ca09fc4695cdcee339ce494cc1c477569174afba5583de327b2edafdf67fe/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144700304
"4 & 5 Abbot Court, Glen Waverley, Vic 3150","$850,000 - $910,000",4,2,,2,"Total land of 2082 sq mt approx.,Situated in a quiet court location within close proximity to Pinewood shopping center and easy access to Monsh freeway these 2 affordable properties offer an excellent opportunity for buyers looking to invest, build a new home or multi unit development STCA.,Positioned in the Pinewood primary zone and Brentwood secondary college zone STSA and minutes away from Monash university, the Glen shopping center and Syndal train station.,4 Abbott offers 4 bedrooms on an allotment of 1052 sq mt approx.,5 Abbott is an allotment of 1030 sq mt approx.,Auction Saturday 24 february at 1 pm if not sold prior.,Photo ID required at all open inspections",Natalie Visic,04665270...,Nick Kamaretsos,04387742...,144029204,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1d618ab273b46e7c1d8eebf74d4617e0ce961ab0a59819380f81b270378b8e96/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5751ba71ea4ed87b91ace733af8fcefdf8bec6857f9925a8188fb0d1c1f854b1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5751ba71ea4ed87b91ace733af8fcefdf8bec6857f9925a8188fb0d1c1f854b1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2eb203c4b86c4938f9209ec6f9668ae669a0e19b6cc2141dd388aeaf50d3b027/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/72ed995de867ace96c25ac09b52da25046891e276cf311324b05d3e8d055771b/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144029204
"19 Lowen Road, Glen Waverley, Vic 3150","$2,200,000",3,1,663m²,2,"Full of classic charm and enduring comfort, this 3 bedroom, 1 bathroom brick home is being sold for the first time in over half a century! Well-maintained throughout, traditional styling highlights a light-filled lounge, tidy kitchen/meals area, ducted heating, wall AC, huge shed and single carport with secure roller door. Providing move-in ready comfort while you consider your next move; breathe fresh life into the existing layout, or start anew and build your forever home or redevelop with multiple townhouses (STCA) on 663sqm (approx). Positioned in the esteemed Glendal Primary and Glen Waverley Secondary College catchments, moments to The Glen, buses, Glen Waverley and Syndal train stations, Wesley College plus the convenience of Monash and EastLink Freeways.",Calvin Huang,04336257...,Anthony Shu,04262702...,144335528,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/87f967d7db3de527fb7c03c5dc62bebd6089b297bd2cecc43bd4122e1cca2055/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1432935bb324285ebb8ab8e503588b1101e7a5891107e8a35eed0334b9ae461f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1432935bb324285ebb8ab8e503588b1101e7a5891107e8a35eed0334b9ae461f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f7ae432d6b4f2d64ca502c4cc444dc612745a345049727e8c1b173f0fec54356/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/97f4867577f0873e50be079354c0a281240bece14832f15d6f2089d220283aef/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144335528
"Type C1/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,260,000",4,3,,2,"•	Three level townhome providing a generous 4-bedroom layout for flexible living. ,•	Spacious light filled master bedroom with generous robe and en suite.  ,•	Study nook in second bedroom on second floor  ,•	A ground floor bedroom with a bathroom opposite provides the opportunity for multi-generational family living or the added flexibility to work from home.  ,•	Rear entry two car garage allows for additional storage,•	Drying courtyard off the garage,•	Suitable for young families or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $$1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au",Silvia Pan,04562502...,Sherroy Ong,04234260...,140791435,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ebc9edfb10fa85909e1ef3266ba12501ccff0d8d2539238785db48c80214c867/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791435
"TYPE A3/583 Ferntree Gully Rd, Glen Waverley, Vic 3150","$1,395,000",3,3,,2,"• Three level townhome providing a generous spacious layout for flexible living.,• A beautiful walk-in wardrobe in the second bedroom ,• A ground floor second living with a bathroom next to it provides the opportunity for multi-purpose family entertainment or the added flexibility to work from home.,• Drying courtyard off the garage,• Suitable for first home buyer, young families, downsizers or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $995k.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment. Please contact our sales team to book inspection.,Display Address: 583 Ferntree Gully Road, Glen Waverley,FloretHomes.com.au",Silvia Pan,04562502...,Sherroy Ong,04234260...,143721120,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ebc9edfb10fa85909e1ef3266ba12501ccff0d8d2539238785db48c80214c867/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143721120
"Type B6/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,565,000",4,3,,2,"•	A lovely east/west orientated double storey townhome with north facing windows,•	Well defined layout with individual dining and living space that opens to a balcony ,•	A multi-purpose room on the ground floor provides flexibility to be used as a study or home office.,•	A powder room and laundry are positioned on the ground floor,•	Double garage,•	Generous storage throughout including a storage shed in the back courtyard. ,•	Suitable for those looking to upsize or for maturing families that require additional space,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au",Sherroy Ong,04234260...,Shin Fu,(03) 901...,140791835,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ebc9edfb10fa85909e1ef3266ba12501ccff0d8d2539238785db48c80214c867/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791835
"Type B4A/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,475,000",4,3,,2,"•	Three level, three bedrooms with an additional flexi room townhome provides generous living space with large glass doors that open to an entertainer’s backyard. ,•	This townhome is one of the larger residences in the estate. ,•	Spacious master bedroom with WIR ,•	Three additional upstairs bedrooms with a large family bathroom,•	Separate laundry room,•	Double garage,•	Abundant amount of storage and cupboards throughout including a outdoor shed,•	Large, landscaped backyard with paved courtyard,•	Suited for downsizers, upsizers or maturing families.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $126M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au",Shin Fu,(03) 901...,Sherroy Ong,04234260...,140791955,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ebc9edfb10fa85909e1ef3266ba12501ccff0d8d2539238785db48c80214c867/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791955
"18 Brighton Street, Glen Waverley, Vic 3150","$1,580,000 - $1,650,000",3,2,656m²,1,"Nestled in a highly sought-after lifestyle enclave, this newly renovated family home boasts a prime position on a expansive 656sqm allotment with an impressive 32m wide frontage.,Newly renovated with modern interior designs, timber floors and a deluxe kitchen featuring stone benchtops and Omega appliances; the house has a spacious living area bathed in abundance of natural light as well as three generously appointed bedrooms, including a master bedroom with large ensuite. Additional features include a fully-tiled second bathroom, split system heating/AC and a garage boasting ample workshop space.,Conveniently located within walking distance to The Glen shopping centre and dining precinct, Kingsway entertainment, Glen Waverley train station and buses. It also falls within the catchment of the esteemed public and private school such as Glen Waverley Primary, Highvale Secondary College, Wesley College and Caulfield Grammer.,The property presents immediate pleasure and leasing opportunities, while also offering exciting potential for future expansion or the creation of your dream home in one of the most sought-after neighbourhoods in Victoria..",Ryan Yan,04141452...,Christopher Pataud,04811647...,143455900,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ed5951bf2382606c9ec86cdf56afd0fedf7e420063cbdc1d108027837cb97143/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0c4926c98d21a75ebd284f97b9983346dc335376d33a85c6a257cf99bcdf35c5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0c4926c98d21a75ebd284f97b9983346dc335376d33a85c6a257cf99bcdf35c5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8dd0bd75b0a55cfa9f74051cb7a878ee3bfbf6d1b0c03d9c8446f4fb70583600/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b18c28d1875a8e39eef8fa57038e7a2a728f97c3054c20542befd8168bbf9001/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143455900
"583  Ferntree Gully Road, Glen Waverley, Vic 3150","From $1,260,000",4,3,,2,,,,,,,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2664edf173d15db1451b43a6f43f050ac8d0f554e47a076ee95795f9aaaca8c3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/015455aedbe540c6c9f2278fde0ace98ea5ecb50eb6a0d93bc00a4ccf9a242ab/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ff848b02cf83de00f4df8a97ef1ecf25e7413160ab25c58fdec58b4933ff01c8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b415e2f44ec7483db5c976270710916e19f632a2055a5ad95e0f37c92f0a398e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fbd926a2cb31084cdece75eae5f6656e255708afb4736f0598028cdbeba5fccb/image.jpg",https://www.realestate.com.au/project/floret-glen-waverley-600036975
"1/20 Myrtle Street, Glen Waverley, Vic 3150","$2,450,000",4,4,383m²,2,"Exclusively refined with an elegant French Provincial profile, this imposing corner residence mesmerizes with its seductive open plan design, soaring high ceilings and luxury appointments.,Drawing you inside, stunning herringbone floorboards provide a cohesive flow from the open entry foyer and into the lavish kitchen, living and dining zone incorporating waterfall stone benches, glass splashbacks, 900mm appliances, Bosch dishwasher, soft-close cabinetry, island breakfast bench and walk-in-pantry, while a 2nd kitchen and an alluring entertaining deck provide added appeal for the avid chef and those who love to entertain.,Towards the front of the home a generous guest bedroom boasts a walk-through-robe to dual vanity ensuite, supplemented by a separate toilet and laundry. While a spacious retreat, study zone and balcony are placed upstairs along with the three additional bedrooms, each with walk-in-robes and ensuite, including the lavish master suite with sitting zone and walk-through-robe to dual vanity ensuite featuring a stone vanity, rainfall-effect shower, freestanding bath and toilet.,Luxury appointments include, keyless entry, ducted heating refrigerated air conditioning, alarm, intercom, CCTV, floor-to-ceiling tiles in all bathrooms, cloak/shoe closet, under stair storage, water tank, remote-controlled front gate plus a double garage with internal access.,Positioned in an exceptional location, within the GWSC zone with an easy walk to Aquatic Center and library, Glen Waverley Primary School, Glen Waverley Station, Glen Waverley Secondary College, Wesley College, Kingsway and The Glen Shopping Centre.",Bruce Liu,04245761...,Jackie Ji,04331610...,144336812,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/89d6df7a50c787b63f07721abf6b742f0e32e64a09d7cb54b7aa8cdfca6499f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b4bf37a3654a71bf4a03eae9a2f4e263f9672cbb45334f8ff8a5ff1ba3bea92/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b4bf37a3654a71bf4a03eae9a2f4e263f9672cbb45334f8ff8a5ff1ba3bea92/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1315a26db9d62d0ea7b9aa762e428d23eb121f4f4a30b9d787f0e5f466d3138c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fc9637182588235e7f258e1bf0c3c178d5e06aeb48b14bf6a76e3280a9316254/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144336812
