URL,Full Address,Type,Images,Beds,Baths,Sq Ft,Price,Latitude,Longitude,City,Street,State,Zip Code,Year Built,Style,Lot,Agent Name,Agent Phone,Agent Email,Broker Name,MLS,Tax,Sold Date
https://www.zillow.com/homedetails/618-S-Washington-Ave-Haxtun-CO-80731/194157604_zpid/,618 S Washington Ave Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/3de2c7c74353b0d14869d4a6d4d1ec40-cc_ft_1536.jpg']",4,2,2017,242000,40.63748,-102.62678,Haxtun,618 S Washington Ave,CO,80731,1950,Single Family,0.32 Acres,Johnna Harris,9705801970,,Town Square Realty,992428,1161.88,"['2023-08-08', '2023-07-21', '2023-07-18']"
https://www.zillow.com/homedetails/241-S-Utah-Ave-Haxtun-CO-80731/194157658_zpid/,241 S Utah Ave Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/a0c3cac7163fe30256734e5d4925eadc-cc_ft_1536.jpg']",5,4,3792,400000,40.64041,-102.63176,Haxtun,241 S Utah Ave,CO,80731,1940,Single Family,0.43 Acres,Laura Knode,9705805312,,Knode Realty And Auction LLC,1007727,1291.52,"['2024-05-02', '2024-04-22']"
https://www.zillow.com/homedetails/519-W-2nd-St-Haxtun-CO-80731/113743622_zpid/,519 W 2nd St Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/7181eb70778575032cea31b84796efd5-cc_ft_1536.jpg']",4,3,1870,245000,40.63727,-102.63411,Haxtun,519 W 2nd St,CO,80731,2002,Single Family,0.26 Acres,Laura Knode,9707744500,,Knode Realty And Auction LLC,984045,1043.68,"['2023-08-07', '2023-06-23', '2023-06-09', '2023-06-05', '2023-05-24', '2023-03-23', '2022-09-07', '2022-08-10', '2022-07-19', '2022-06-14']"
https://www.zillow.com/homedetails/417-E-Strohm-St-Haxtun-CO-80731/113743458_zpid/,417 E Strohm St Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/4d5e894bd2474b2d00423f1098a6b8a8-cc_ft_1536.jpg']",3,2,1872,250000,40.64259,-102.62392,Haxtun,417 E Strohm St,CO,80731,1908,Single Family,0.26 Acres,Laura Knode,9707744500,,Knode Realty And Auction LLC,988986,1166.04,"['2023-06-28', '2023-06-14', '2023-06-01']"
https://www.zillow.com/homedetails/536-W-Bryan-St-Haxtun-CO-80731/194156851_zpid/,536 W Bryan St Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/a72569c4aac1baca89064f23c5525d7e-cc_ft_1536.jpg']",4,3,2708,250000,40.64415,-102.63437,Haxtun,536 W Bryan St,CO,80731,1971,Single Family,0.27 Acres,Laura Knode,9707744500,,Knode Realty And Auction LLC,977770,910.84,"['2023-06-22', '2023-06-06', '2023-04-21', '2023-03-08', '2022-11-01']"
https://www.zillow.com/homedetails/318-E-Raymond-St-Haxtun-CO-80731/194157598_zpid/,318 E Raymond St Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/4b5c5a92f498a34e18e9b19a9c870d13-cc_ft_1536.jpg']",0,0,638,80000,40.639816,-102.62516,Haxtun,318 E Raymond St,CO,80731,1880,Single Family,1.47 Acres,Olga Sullivan,9705205705,,Sully Team Realty,975997,444.44,"['2023-07-19', '2023-06-19', '2022-09-23']"
https://www.zillow.com/homedetails/2919-County-Road-15-Sedgwick-CO-80749/318987263_zpid/,2919 County Road 15 Sedgwick CO 80749,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/6f824fc14beb36addbd16b7c160c4f05-cc_ft_1536.jpg']",2,1,1480,163000,40.792797,-102.51784,Sedgwick,2919 County Road 15,CO,80749,1919,Single Family,5 Acres,,,,,,306.9,"['2023-06-14', '2023-04-30', '2023-04-21', '2023-04-20', '2023-04-18', '2023-02-19', '2023-02-11', '2022-10-03', '2022-09-20', '2022-08-25', '2017-08-10']"
https://www.zillow.com/homedetails/127-N-Washington-Ave-Haxtun-CO-80731/194157020_zpid/,127 N Washington Ave Haxtun CO 80731,SINGLE_FAMILY,"['https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=192x144&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=pNe1na8K4tsAScFEClg1OeD-6Wk=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=384x288&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=X8KB03YgQNXGSUqtl71EHshTwg0=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=576x432&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=Kr3jnTWzdIIWapnBLIwhy8YM9nE=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=768x576&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=BHSBTcA-xm_XbcOuO0J012lIeXw=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=960x720&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=SoJdbF2Fkaja4cwqJsXJ3JA8ABk=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=1152x864&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=vLWsNCbhhKhPLR9_C0Sjj-4T4gg=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=1344x1008&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=Z9W5Zqi7k1b1m3Rojuc9mpHcMms=', 'https://maps.googleapis.com/maps/api/streetview?location=127+N+Washington+Ave%2C+Haxtun%2C+CO+80731&size=1536x1152&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=NQPyi28Ut_UgOhmRQcJ2k6gb7TY=']",3,1.75,1640,260000,40.642906,-102.62743,Haxtun,127 N Washington Ave,CO,80731,1964,Single Family,"8,743 sqft",,,,,,1208.92,"['2023-08-08', '2023-07-17', '2023-05-31']"
https://www.zillow.com/homedetails/42487-County-Road-5-Haxtun-CO-80731/113743408_zpid/,42487 County Road 5 Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ed248742e157bb7a0cf97027cc2f6976-cc_ft_1536.jpg']",3,2.5,2419,709000,40.742123,-102.61431,Haxtun,42487 County Road 5,CO,80731,1950,Single Family,9.50 Acres,,,,,,2060.48,"['2024-02-23', '2023-09-01', '2023-07-22', '2023-07-05', '2023-05-24', '2023-05-10', '2023-03-11', '2022-11-23', '2022-08-30', '2022-06-25', '2008-07-02']"
https://www.zillow.com/homedetails/313-W-Chase-St-Haxtun-CO-80731/113743512_zpid/,313 W Chase Street Haxtun CO 80731,SINGLE_FAMILY,"['https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/4a19f49dfd73ee220e34ca8b18fbb07c-cc_ft_1536.jpg']",2,1,1088,160000,40.643597,-102.631516,Haxtun,313 W Chase Street,CO,80731,1915,Single Family,0.39 Acres,Betsy Aguilar,7202913637,,PAK Home Realty,3789610,650.48,"['2023-10-06', '2023-08-15', '2023-08-02', '2023-07-18', '2014-01-22']"
